defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/XPO_0131753	increased alpha-tubulin acetylation	http://purl.obolibrary.org/obo/GO_0071929	alpha-tubulin acetylation
http://purl.obolibrary.org/obo/XPO_0103642	increased cell population proliferation	http://purl.obolibrary.org/obo/GO_0008283	cell population proliferation
