defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0103673	increased width of hindlimb bud	http://purl.obolibrary.org/obo/XAO_0003066	hindlimb bud
http://purl.obolibrary.org/obo/XPO_0103674	increased width of neural plate	http://purl.obolibrary.org/obo/XAO_0000249	neural plate
http://purl.obolibrary.org/obo/XPO_0103675	increased width of pre-chordal neural plate	http://purl.obolibrary.org/obo/XAO_0000045	pre-chordal neural plate
http://purl.obolibrary.org/obo/XPO_0103676	increased width of pronephric tubule	http://purl.obolibrary.org/obo/XAO_0004105	pronephric tubule
