defined_class	defined_class_label	biological_process	biological_process_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0103624	absent anterior/posterior pattern specification in midgut	http://purl.obolibrary.org/obo/GO_0009952	anterior/posterior pattern specification	http://purl.obolibrary.org/obo/XAO_0000103	midgut
http://purl.obolibrary.org/obo/XPO_0103623	absent axon regeneration in optic nerve	http://purl.obolibrary.org/obo/GO_0031103	axon regeneration	http://purl.obolibrary.org/obo/XAO_0000188	optic nerve
http://purl.obolibrary.org/obo/XPO_0133402	absent determination of left/right symmetry in alimentary system	http://purl.obolibrary.org/obo/GO_0007368	determination of left/right symmetry	http://purl.obolibrary.org/obo/XAO_0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0133400	absent determination of left/right symmetry in intestine	http://purl.obolibrary.org/obo/GO_0007368	determination of left/right symmetry	http://purl.obolibrary.org/obo/XAO_0000129	intestine
http://purl.obolibrary.org/obo/XPO_0133401	absent determination of left/right symmetry in lateral plate mesoderm	http://purl.obolibrary.org/obo/GO_0007368	determination of left/right symmetry	http://purl.obolibrary.org/obo/XAO_0000311	lateral plate mesoderm
http://purl.obolibrary.org/obo/XPO_0103625	absent mitotic cytokinesis in primary spermatogonium	http://purl.obolibrary.org/obo/GO_0000281	mitotic cytokinesis	http://purl.obolibrary.org/obo/XAO_0003018	primary spermatogonium
