defined_class	defined_class_label	location	location_label	role	role_label
http://purl.obolibrary.org/obo/HP_0000843	Hyperparathyroidism	http://purl.obolibrary.org/obo/UBERON_0001132	parathyroid gland	http://purl.obolibrary.org/obo/CHEBI_24621	hormone
http://purl.obolibrary.org/obo/HP_0030348	Increased circulating androgen concentration	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_50113	androgen
