defined_class	defined_class_label	entity	entity_label	shape	shape_label
http://purl.obolibrary.org/obo/WBPhenotype_0001294	head bent	http://purl.obolibrary.org/obo/WBbt_0005739	head	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/WBPhenotype_0001516	helical cuticle	http://purl.obolibrary.org/obo/WBbt_0005755	cuticle	http://purl.obolibrary.org/obo/PATO_0000404	coiled
http://purl.obolibrary.org/obo/WBPhenotype_0000441	tail rounded	http://purl.obolibrary.org/obo/WBbt_0005741	tail	http://purl.obolibrary.org/obo/PATO_0000411	circular
