defined_class	defined_class_label	entity	entity_label
http://purl.obolibrary.org/obo/MP_0000022	abnormal ear shape	http://purl.obolibrary.org/obo/UBERON_0001691	external ear
http://purl.obolibrary.org/obo/MP_0030071	abnormal face shape	http://purl.obolibrary.org/obo/UBERON_0001456	face
http://purl.obolibrary.org/obo/MP_0030045	abnormal forehead shape	http://purl.obolibrary.org/obo/UBERON_0008200	forehead
http://purl.obolibrary.org/obo/MP_0011495	abnormal head shape	http://purl.obolibrary.org/obo/UBERON_0000033	head
http://purl.obolibrary.org/obo/MP_0031562	abnormal heart atrium shape	http://purl.obolibrary.org/obo/UBERON_0002081	cardiac atrium
http://purl.obolibrary.org/obo/MP_0000277	abnormal heart shape	http://purl.obolibrary.org/obo/UBERON_0000948	heart
http://purl.obolibrary.org/obo/MP_0031530	abnormal heart ventricle shape	http://purl.obolibrary.org/obo/UBERON_0002082	cardiac ventricle
http://purl.obolibrary.org/obo/MP_0003771	abnormal lip shape	http://purl.obolibrary.org/obo/UBERON_0001833	lip
http://purl.obolibrary.org/obo/MP_0011633	abnormal mitochondrial shape	http://purl.obolibrary.org/obo/GO_0005739	mitochondrion
http://purl.obolibrary.org/obo/MP_0031501	abnormal mouth shape	http://purl.obolibrary.org/obo/UBERON_0000165	mouth
http://purl.obolibrary.org/obo/MP_0030103	abnormal orbit shape	http://purl.obolibrary.org/obo/UBERON_0001697	orbit of skull
http://purl.obolibrary.org/obo/MP_0003405	abnormal platelet shape	http://purl.obolibrary.org/obo/CL_0000233	platelet
http://purl.obolibrary.org/obo/MP_0001691	abnormal somite shape	http://purl.obolibrary.org/obo/UBERON_0002329	somite
http://purl.obolibrary.org/obo/MP_0010099	abnormal thoracic cage shape	http://purl.obolibrary.org/obo/UBERON_0003252	thoracic rib cage
http://purl.obolibrary.org/obo/MP_0021136	abnormal vertebrae shape	http://purl.obolibrary.org/obo/UBERON_0002412	vertebra
http://purl.obolibrary.org/obo/MP_0001319	irregularly shaped pupil	http://purl.obolibrary.org/obo/UBERON_0001771	pupil
http://purl.obolibrary.org/obo/MP_0002643	poikilocytosis	http://purl.obolibrary.org/obo/CL_0000232	erythrocyte
