defined_class	defined_class_label	behavior_process	behavior_process_label
http://purl.obolibrary.org/obo/MP_0020158	abnormal behavioral response to cocaine	http://purl.obolibrary.org/obo/NBO_0001987	behavioral response to cocaine
http://purl.obolibrary.org/obo/MP_0002806	abnormal conditioned emotional response	http://purl.obolibrary.org/obo/NBO_0000221	conditioned emotional response
http://purl.obolibrary.org/obo/MP_0002805	abnormal conditioned taste aversion behavior	http://purl.obolibrary.org/obo/NBO_0000211	conditioned taste aversion
