defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/MP_0010921	absent pulmonary neuroendocrine bodies	http://purl.obolibrary.org/obo/PR_000011107	nebulin
http://purl.obolibrary.org/obo/MP_0002316	anoxia	http://purl.obolibrary.org/obo/CHEBI_25805	oxygen atom
