defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/MP_0008147	asymmetric costovertebral joints	http://purl.obolibrary.org/obo/UBERON_0002292	costovertebral joint
http://purl.obolibrary.org/obo/MP_0000155	asymmetric rib joints	http://purl.obolibrary.org/obo/UBERON_0002001	joint of rib
http://purl.obolibrary.org/obo/MP_0008862	asymmetric snout	http://purl.obolibrary.org/obo/UBERON_0006333	snout
http://purl.obolibrary.org/obo/MP_0008146	asymmetric sternocostal joints	http://purl.obolibrary.org/obo/UBERON_0001998	sternocostal joint
http://purl.obolibrary.org/obo/MP_0006214	asymmetrical orbits	http://purl.obolibrary.org/obo/UBERON_0001697	orbit of skull
http://purl.obolibrary.org/obo/MP_0008863	craniofacial asymmetry	http://purl.obolibrary.org/obo/UBERON_0000033	head
http://purl.obolibrary.org/obo/MP_0030099	facial asymmetry	http://purl.obolibrary.org/obo/UBERON_0001456	face
