defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/MP_0013208	abnormal cilium physiology	http://purl.obolibrary.org/obo/GO_0005929	cilium
http://purl.obolibrary.org/obo/MP_0020352	abnormal endoplasmic reticulum physiology	http://purl.obolibrary.org/obo/GO_0005783	endoplasmic reticulum
http://purl.obolibrary.org/obo/MP_0014241	abnormal intracellular organelle physiology	http://purl.obolibrary.org/obo/GO_0043229	intracellular organelle
http://purl.obolibrary.org/obo/MP_0003172	abnormal lysosome physiology	http://purl.obolibrary.org/obo/GO_0005764	lysosome
http://purl.obolibrary.org/obo/MP_0006036	abnormal mitochondrial physiology	http://purl.obolibrary.org/obo/GO_0005739	mitochondrion
http://purl.obolibrary.org/obo/MP_0013209	abnormal motile cilium physiology	http://purl.obolibrary.org/obo/GO_0031514	motile cilium
http://purl.obolibrary.org/obo/MP_0013211	abnormal nonmotile primary cilium physiology	http://purl.obolibrary.org/obo/GO_0097730	non-motile cilium
http://purl.obolibrary.org/obo/MP_0020847	abnormal peroxisome physiology	http://purl.obolibrary.org/obo/GO_0005777	peroxisome
http://purl.obolibrary.org/obo/MP_0009446	abnormal platelet dense granule physiology	http://purl.obolibrary.org/obo/GO_0042827	platelet dense granule
http://purl.obolibrary.org/obo/MP_0014240	abnormal ribosome physiology	http://purl.obolibrary.org/obo/GO_0005840	ribosome
http://purl.obolibrary.org/obo/MP_0021009	abnormal synaptic physiology	http://purl.obolibrary.org/obo/GO_0045202	synapse
