defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/MP_0010891	increased alveolar lamellar body number	http://purl.obolibrary.org/obo/GO_0097208	alveolar lamellar body
http://purl.obolibrary.org/obo/MP_0003707	increased cell nucleus count	http://purl.obolibrary.org/obo/GO_0005634	cell nucleus
http://purl.obolibrary.org/obo/MP_0003707	increased cell nucleus count	http://purl.obolibrary.org/obo/GO_0005634	nucleus
http://purl.obolibrary.org/obo/MP_0020280	increased creatine kinase level	http://purl.obolibrary.org/obo/GO_0002185	creatine kinase complex
http://purl.obolibrary.org/obo/MP_0021019	increased dendritic spine number	http://purl.obolibrary.org/obo/GO_0043197	dendritic spine
http://purl.obolibrary.org/obo/MP_0001840	increased level of surface class I molecules	http://purl.obolibrary.org/obo/GO_0042612	MHC class I protein complex
http://purl.obolibrary.org/obo/MP_0010538	increased level of surface class II molecules	http://purl.obolibrary.org/obo/GO_0042613	MHC class II protein complex
http://purl.obolibrary.org/obo/MP_0011628	increased mitochondrial number	http://purl.obolibrary.org/obo/GO_0005739	mitochondrion
http://purl.obolibrary.org/obo/MP_0020817	increased photoreceptor outer segment number	http://purl.obolibrary.org/obo/GO_0001750	photoreceptor outer segment
http://purl.obolibrary.org/obo/MP_0020430	increased platelet alpha-granule number	http://purl.obolibrary.org/obo/GO_0031091	platelet alpha granule
http://purl.obolibrary.org/obo/MP_0020433	increased platelet dense granule number	http://purl.obolibrary.org/obo/GO_0042827	platelet dense granule
http://purl.obolibrary.org/obo/MP_0014596	increased sperm cytoplasmic droplet number	http://purl.obolibrary.org/obo/GO_0097598	sperm cytoplasmic droplet
http://purl.obolibrary.org/obo/MP_0031408	multi-headed sperm	http://purl.obolibrary.org/obo/GO_0061827	sperm head
http://purl.obolibrary.org/obo/MP_0009839	multiflagellated sperm	http://purl.obolibrary.org/obo/GO_0036126	sperm flagellum
