defined_class	defined_class_label	entity	entity_label
http://purl.obolibrary.org/obo/MP_0013442	abnormal Harderian gland size	http://purl.obolibrary.org/obo/UBERON_0004187	Harderian gland
http://purl.obolibrary.org/obo/MP_0008134	abnormal Peyer's patch size	http://purl.obolibrary.org/obo/UBERON_0001211	Peyer's patch
http://purl.obolibrary.org/obo/MP_0014326	abnormal Purkinje cell size	http://purl.obolibrary.org/obo/CL_0000121	Purkinje cell
http://purl.obolibrary.org/obo/MP_0020143	abnormal adrenal gland x-zone size	http://purl.obolibrary.org/obo/UBERON_0009024	adrenal gland X zone
http://purl.obolibrary.org/obo/MP_0014284	abnormal adrenal gland zona fasciculata size	http://purl.obolibrary.org/obo/UBERON_0002054	zona fasciculata of adrenal gland
http://purl.obolibrary.org/obo/MP_0020436	abnormal astrocyte size	http://purl.obolibrary.org/obo/CL_0000127	astrocyte
http://purl.obolibrary.org/obo/MP_0014290	abnormal autopod size	http://purl.obolibrary.org/obo/UBERON_0002470	autopod region
http://purl.obolibrary.org/obo/MP_0003956	abnormal body size	http://purl.obolibrary.org/obo/UBERON_0000468	multicellular organism
http://purl.obolibrary.org/obo/MP_0000771	abnormal brain size	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/MP_0013229	abnormal brain ventricle size	http://purl.obolibrary.org/obo/UBERON_0004086	brain ventricle
http://purl.obolibrary.org/obo/MP_0009135	abnormal brown fat cell size	http://purl.obolibrary.org/obo/CL_0000449	brown adipocyte
http://purl.obolibrary.org/obo/MP_0020538	abnormal cerebellum fastigial nucleus size	http://purl.obolibrary.org/obo/UBERON_0002153	fastigial nucleus
http://purl.obolibrary.org/obo/MP_0009100	abnormal clitoris size	http://purl.obolibrary.org/obo/UBERON_0002411	clitoris
http://purl.obolibrary.org/obo/MP_0014297	abnormal cochlea size	http://purl.obolibrary.org/obo/UBERON_0001844	cochlea
http://purl.obolibrary.org/obo/MP_0031498	abnormal cornea size	http://purl.obolibrary.org/obo/UBERON_0000964	cornea
http://purl.obolibrary.org/obo/MP_0020573	abnormal corpus callosum size	http://purl.obolibrary.org/obo/UBERON_0002336	corpus callosum
http://purl.obolibrary.org/obo/MP_0010031	abnormal cranium size	http://purl.obolibrary.org/obo/UBERON_0003128	cranium
http://purl.obolibrary.org/obo/MP_0004926	abnormal epididymis size	http://purl.obolibrary.org/obo/UBERON_0001301	epididymis
http://purl.obolibrary.org/obo/MP_0002697	abnormal eye size	http://purl.obolibrary.org/obo/UBERON_0000019	camera-type eye
http://purl.obolibrary.org/obo/MP_0003671	abnormal eyelid aperture	http://purl.obolibrary.org/obo/UBERON_0001819	palpebral fissure
http://purl.obolibrary.org/obo/MP_0030063	abnormal face size	http://purl.obolibrary.org/obo/UBERON_0001456	face
http://purl.obolibrary.org/obo/MP_0004198	abnormal fetal size	http://purl.obolibrary.org/obo/UBERON_0000323	late embryo
http://purl.obolibrary.org/obo/MP_0012137	abnormal forebrain size	http://purl.obolibrary.org/obo/UBERON_0001890	forebrain
http://purl.obolibrary.org/obo/MP_0030041	abnormal forehead size	http://purl.obolibrary.org/obo/UBERON_0008200	forehead
http://purl.obolibrary.org/obo/MP_0020134	abnormal gallbladder size	http://purl.obolibrary.org/obo/UBERON_0002110	gallbladder
http://purl.obolibrary.org/obo/MP_0011496	abnormal head size	http://purl.obolibrary.org/obo/UBERON_0000033	head
http://purl.obolibrary.org/obo/MP_0020323	abnormal heart apex size	http://purl.obolibrary.org/obo/UBERON_0002098	apex of heart
http://purl.obolibrary.org/obo/MP_0031576	abnormal heart atrium size	http://purl.obolibrary.org/obo/UBERON_0002081	cardiac atrium
http://purl.obolibrary.org/obo/MP_0010578	abnormal heart left ventricle size	http://purl.obolibrary.org/obo/UBERON_0002084	heart left ventricle
http://purl.obolibrary.org/obo/MP_0010577	abnormal heart right ventricle size	http://purl.obolibrary.org/obo/UBERON_0002080	heart right ventricle
http://purl.obolibrary.org/obo/MP_0005406	abnormal heart size	http://purl.obolibrary.org/obo/UBERON_0000948	heart
http://purl.obolibrary.org/obo/MP_0031543	abnormal heart ventricle size	http://purl.obolibrary.org/obo/UBERON_0002082	cardiac ventricle
http://purl.obolibrary.org/obo/MP_0012262	abnormal hindbrain size	http://purl.obolibrary.org/obo/UBERON_0002028	hindbrain
http://purl.obolibrary.org/obo/MP_0020544	abnormal hippocampal fornix size	http://purl.obolibrary.org/obo/UBERON_0000052	fornix of brain
http://purl.obolibrary.org/obo/MP_0008281	abnormal hippocampus size	http://purl.obolibrary.org/obo/UBERON_0002421	hippocampal formation
http://purl.obolibrary.org/obo/MP_0002706	abnormal kidney size	http://purl.obolibrary.org/obo/UBERON_0002113	kidney
http://purl.obolibrary.org/obo/MP_0004848	abnormal liver size	http://purl.obolibrary.org/obo/UBERON_0002107	liver
http://purl.obolibrary.org/obo/MP_0004881	abnormal lung size	http://purl.obolibrary.org/obo/UBERON_0002048	lung
http://purl.obolibrary.org/obo/MP_0000701	abnormal lymph node size	http://purl.obolibrary.org/obo/UBERON_0000029	lymph node
http://purl.obolibrary.org/obo/MP_0030916	abnormal melanosome size	http://purl.obolibrary.org/obo/GO_0042470	melanosome
http://purl.obolibrary.org/obo/MP_0012088	abnormal midbrain size	http://purl.obolibrary.org/obo/UBERON_0001891	midbrain
http://purl.obolibrary.org/obo/MP_0031503	abnormal mouth size	http://purl.obolibrary.org/obo/UBERON_0000165	mouth
http://purl.obolibrary.org/obo/MP_0020066	abnormal neocortex size	http://purl.obolibrary.org/obo/UBERON_0001950	neocortex
http://purl.obolibrary.org/obo/MP_0020547	abnormal optic chiasm size	http://purl.obolibrary.org/obo/UBERON_0000959	optic chiasma
http://purl.obolibrary.org/obo/MP_0006216	abnormal optic disk size	http://purl.obolibrary.org/obo/UBERON_0001783	optic disc
http://purl.obolibrary.org/obo/MP_0006210	abnormal orbit size	http://purl.obolibrary.org/obo/UBERON_0001697	orbit of skull
