defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/MP_0008261	arrest of male meiosis	http://purl.obolibrary.org/obo/GO_0007140	male meiotic nuclear division
http://purl.obolibrary.org/obo/MP_0001155	arrest of spermatogenesis	http://purl.obolibrary.org/obo/GO_0007283	spermatogenesis
http://purl.obolibrary.org/obo/MP_0008279	arrest of spermiogenesis	http://purl.obolibrary.org/obo/GO_0007286	spermatid development
http://purl.obolibrary.org/obo/MP_0000118	arrest of tooth development	http://purl.obolibrary.org/obo/GO_0042476	odontogenesis
http://purl.obolibrary.org/obo/MP_0008035	behavioral arrest	http://purl.obolibrary.org/obo/NBO_0000013	locomotory behavior
http://purl.obolibrary.org/obo/MP_0008274	failure of bone ossification	http://purl.obolibrary.org/obo/GO_0001503	ossification
http://purl.obolibrary.org/obo/MP_0008275	failure of endochondral bone ossification	http://purl.obolibrary.org/obo/GO_0001958	endochondral ossification
http://purl.obolibrary.org/obo/MP_0008276	failure of intramembranous bone ossification	http://purl.obolibrary.org/obo/GO_0001957	intramembranous ossification
http://purl.obolibrary.org/obo/MP_0003622	ischuria	http://purl.obolibrary.org/obo/GO_0060073	micturition
http://purl.obolibrary.org/obo/MP_0020864	premature suckling reflex loss	http://purl.obolibrary.org/obo/NBO_0000401	sucking reflex
