defined_class	defined_class_label	color	color_label	entity	entity_label
http://purl.obolibrary.org/obo/MP_0000341	abnormal bile color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/UBERON_0001970	bile
http://purl.obolibrary.org/obo/MP_0013130	abnormal gum color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/UBERON_0001828	gingiva
http://purl.obolibrary.org/obo/MP_0010096	abnormal incisor color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/UBERON_0001098	incisor tooth
http://purl.obolibrary.org/obo/MP_0030138	abnormal lower incisor color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/UBERON_0003451	lower jaw incisor
http://purl.obolibrary.org/obo/MP_0012404	abnormal nail color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/UBERON_0001705	nail
http://purl.obolibrary.org/obo/MP_0013129	abnormal tooth color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/UBERON_0001091	calcareous tooth
http://purl.obolibrary.org/obo/MP_0030139	abnormal upper incisor color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/UBERON_0003450	upper jaw incisor
http://purl.obolibrary.org/obo/MP_0003619	abnormal urine color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/UBERON_0001088	urine
http://purl.obolibrary.org/obo/MP_0001575	cyanosis	http://purl.obolibrary.org/obo/PATO_0000319	cyan	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/MP_0030058	erythrodontia	http://purl.obolibrary.org/obo/PATO_0000322	red	http://purl.obolibrary.org/obo/UBERON_0001091	calcareous tooth
http://purl.obolibrary.org/obo/MP_0011414	erythruria	http://purl.obolibrary.org/obo/PATO_0000322	red	http://purl.obolibrary.org/obo/UBERON_0001088	urine
http://purl.obolibrary.org/obo/MP_0001190	reddish skin	http://purl.obolibrary.org/obo/PATO_0000322	red	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/MP_0006242	white pupil	http://purl.obolibrary.org/obo/PATO_0000323	white	http://purl.obolibrary.org/obo/UBERON_0001771	pupil
http://purl.obolibrary.org/obo/MP_0003136	yellow coat color	http://purl.obolibrary.org/obo/PATO_0000324	yellow	http://purl.obolibrary.org/obo/UBERON_0001037	strand of hair
