defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/MP_0010890	decreased alveolar lamellar body number	http://purl.obolibrary.org/obo/GO_0097208	alveolar lamellar body
http://purl.obolibrary.org/obo/MP_0020281	decreased creatine kinase level	http://purl.obolibrary.org/obo/GO_0002185	creatine kinase complex
http://purl.obolibrary.org/obo/MP_0021018	decreased dendritic spine number	http://purl.obolibrary.org/obo/GO_0043197	dendritic spine
http://purl.obolibrary.org/obo/MP_0001841	decreased level of surface class I molecules	http://purl.obolibrary.org/obo/GO_0042612	MHC class I protein complex
http://purl.obolibrary.org/obo/MP_0010539	decreased level of surface class II molecules	http://purl.obolibrary.org/obo/GO_0042613	MHC class II protein complex
http://purl.obolibrary.org/obo/MP_0011629	decreased mitochondrial number	http://purl.obolibrary.org/obo/GO_0005739	mitochondrion
http://purl.obolibrary.org/obo/MP_0020816	decreased photoreceptor outer segment number	http://purl.obolibrary.org/obo/GO_0001750	photoreceptor outer segment
http://purl.obolibrary.org/obo/MP_0020431	decreased platelet alpha-granule number	http://purl.obolibrary.org/obo/GO_0031091	platelet alpha granule
http://purl.obolibrary.org/obo/MP_0020432	decreased platelet dense granule number	http://purl.obolibrary.org/obo/GO_0042827	platelet dense granule
http://purl.obolibrary.org/obo/MP_0014597	decreased sperm cytoplasmic droplet number	http://purl.obolibrary.org/obo/GO_0097598	sperm cytoplasmic droplet
