defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/HP_0410359	Abnormal core 1 O-glycan level	http://purl.obolibrary.org/obo/CHEBI_546807	beta-D-Galp-(1->3)-D-GalpNAc
http://purl.obolibrary.org/obo/HP_0410176	Abnormal glucose-6-phosphate dehydrogenase level	http://purl.obolibrary.org/obo/PR_000007749	glucose-6-phosphate 1-dehydrogenase
http://purl.obolibrary.org/obo/HP_0040214	Abnormal insulin level	http://purl.obolibrary.org/obo/PR_000009054	insulin
