defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/HP_0002846	Abnormal B cell morphology	http://purl.obolibrary.org/obo/CL_0000236	B cell
http://purl.obolibrary.org/obo/HP_0002843	Abnormal T cell morphology	http://purl.obolibrary.org/obo/CL_0000084	T cell
http://purl.obolibrary.org/obo/HP_0030333	Abnormal alpha-beta T cell morphology	http://purl.obolibrary.org/obo/CL_0000789	alpha-beta T cell
http://purl.obolibrary.org/obo/HP_0006802	Abnormal anterior horn cell morphology	http://purl.obolibrary.org/obo/CL_0011001	spinal cord motor neuron
http://purl.obolibrary.org/obo/HP_0012862	Abnormal germ cell morphology	http://purl.obolibrary.org/obo/CL_0000586	germ cell
http://purl.obolibrary.org/obo/HP_0012863	Abnormal male germ cell morphology	http://purl.obolibrary.org/obo/CL_0000015	male germ cell
http://purl.obolibrary.org/obo/HP_0100494	Abnormal mast cell morphology	http://purl.obolibrary.org/obo/CL_0000097	mast cell
http://purl.obolibrary.org/obo/HP_0008322	Abnormal mitochondrial morphology	http://purl.obolibrary.org/obo/GO_0005739	mitochondrion
http://purl.obolibrary.org/obo/HP_0002450	Abnormal motor neuron morphology	http://purl.obolibrary.org/obo/CL_0000100	motor neuron
http://purl.obolibrary.org/obo/HP_0020047	Abnormal myeloid cell morphology	http://purl.obolibrary.org/obo/CL_0000763	myeloid cell
http://purl.obolibrary.org/obo/HP_0010974	Abnormal myeloid leukocyte morphology	http://purl.obolibrary.org/obo/CL_0000766	myeloid leukocyte
http://purl.obolibrary.org/obo/HP_0012176	Abnormal natural killer cell morphology	http://purl.obolibrary.org/obo/CL_0000623	natural killer cell
http://purl.obolibrary.org/obo/HP_0500032	Abnormal neuron branching	http://purl.obolibrary.org/obo/GO_0044307	dendritic branch
http://purl.obolibrary.org/obo/HP_0012757	Abnormal neuron morphology	http://purl.obolibrary.org/obo/CL_0000540	neuron
http://purl.obolibrary.org/obo/HP_0011875	Abnormal platelet morphology	http://purl.obolibrary.org/obo/CL_0000233	platelet
http://purl.obolibrary.org/obo/HP_0012864	Abnormal sperm morphology	http://purl.obolibrary.org/obo/CL_0000019	sperm
http://purl.obolibrary.org/obo/HP_0005561	Abnormality of bone marrow cell morphology	http://purl.obolibrary.org/obo/CL_0002092	bone marrow cell
http://purl.obolibrary.org/obo/HP_0025029	Abnormality of enteric neuron morphology	http://purl.obolibrary.org/obo/CL_0007011	enteric neuron
