defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/DDPHENO_0001380		http://purl.obolibrary.org/obo/CHEBI_16134	ammonia
http://purl.obolibrary.org/obo/DDPHENO_0001236	increased ATP level	http://purl.obolibrary.org/obo/CHEBI_15422	ATP
http://purl.obolibrary.org/obo/DDPHENO_0000537	increased ammonia level	http://purl.obolibrary.org/obo/CHEBI_16134	ammonia
http://purl.obolibrary.org/obo/DDPHENO_0001243	increased protein level	http://purl.obolibrary.org/obo/CHEBI_36080	protein
