defined_class	defined_class_label	biological_process	biological_process_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/DDPHENO_0000434	aberrant pinosome maturation	http://purl.obolibrary.org/obo/GO_0070925	organelle assembly	http://purl.obolibrary.org/obo/GO_0044352	pinosome
http://purl.obolibrary.org/obo/DDPHENO_0001238	aberrant post-lysosomal vacuole exocytosis	http://purl.obolibrary.org/obo/GO_0006887	exocytosis	http://purl.obolibrary.org/obo/GO_0032195	post-lysosomal vacuole
