defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/DDPHENO_0001191	increased number of autophagosomes	http://purl.obolibrary.org/obo/GO_0005776	autophagosome
http://purl.obolibrary.org/obo/DDPHENO_0001426	increased number of centrosomes	http://purl.obolibrary.org/obo/GO_0005813	centrosome
http://purl.obolibrary.org/obo/DDPHENO_0000532	increased number of contractile vacuoles	http://purl.obolibrary.org/obo/GO_0000331	contractile vacuole
http://purl.obolibrary.org/obo/DDPHENO_0000203	increased number of microtubule organizing center	http://purl.obolibrary.org/obo/GO_0005815	microtubule organizing center
http://purl.obolibrary.org/obo/DDPHENO_0000272	increased number of mitochondria	http://purl.obolibrary.org/obo/GO_0005739	mitochondrion
http://purl.obolibrary.org/obo/DDPHENO_0000501	increased number of pinosomes	http://purl.obolibrary.org/obo/GO_0044352	pinosome
