defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/DDPHENO_0000183	decreased number of astral microtubules	http://purl.obolibrary.org/obo/GO_0000235	astral microtubule
http://purl.obolibrary.org/obo/DDPHENO_0001192	decreased number of autophagosomes	http://purl.obolibrary.org/obo/GO_0005776	autophagosome
http://purl.obolibrary.org/obo/DDPHENO_0000271	decreased number of mitochondria	http://purl.obolibrary.org/obo/GO_0005739	mitochondrion
http://purl.obolibrary.org/obo/DDPHENO_0000598	decreased number of post-lysosomal vacuoles	http://purl.obolibrary.org/obo/GO_0032195	post-lysosomal vacuole
http://purl.obolibrary.org/obo/DDPHENO_0000497	decreased number of vacuoles	http://purl.obolibrary.org/obo/GO_0005773	vacuole
