defined_class	defined_class_label	entity	entity_label
http://purl.obolibrary.org/obo/DDPHENO_0000425	decreased resistance to hydrogen peroxide	http://purl.obolibrary.org/obo/CHEBI_16240	hydrogen peroxide
http://purl.obolibrary.org/obo/DDPHENO_0000215	decreased spore resistance to hydrogen peroxide	http://purl.obolibrary.org/obo/CHEBI_16240	hydrogen peroxide
