defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/DDPHENO_0000156	delayed aggregation	http://purl.obolibrary.org/obo/GO_0031152	aggregation involved in sorocarp development
http://purl.obolibrary.org/obo/DDPHENO_0001417	delayed cell separation during cytokinesis	http://purl.obolibrary.org/obo/GO_0061952	midbody abscission
http://purl.obolibrary.org/obo/DDPHENO_0001069	delayed cellular hyperosmotic response	http://purl.obolibrary.org/obo/GO_0006972	hyperosmotic response
http://purl.obolibrary.org/obo/DDPHENO_0001072	delayed cellular hypotonic response	http://purl.obolibrary.org/obo/GO_0006971	hypotonic response
http://purl.obolibrary.org/obo/DDPHENO_0000161	delayed culmination	http://purl.obolibrary.org/obo/GO_0031154	culmination involved in sorocarp development
http://purl.obolibrary.org/obo/DDPHENO_0001169	delayed cytokinesis	http://purl.obolibrary.org/obo/GO_0000910	cytokinesis
http://purl.obolibrary.org/obo/DDPHENO_0000162	delayed development	http://purl.obolibrary.org/obo/GO_0030587	sorocarp development
http://purl.obolibrary.org/obo/DDPHENO_0001115	delayed gene expression	http://purl.obolibrary.org/obo/GO_0010467	gene expression
http://purl.obolibrary.org/obo/DDPHENO_0001487	delayed mitotic spindle elongation	http://purl.obolibrary.org/obo/GO_0000022	mitotic spindle elongation
http://purl.obolibrary.org/obo/DDPHENO_0001491	delayed phagosome acidification	http://purl.obolibrary.org/obo/GO_0090383	phagosome acidification
http://purl.obolibrary.org/obo/DDPHENO_0001492	delayed phagosome reneutralization	http://purl.obolibrary.org/obo/GO_0044655	phagosome reneutralization
http://purl.obolibrary.org/obo/DDPHENO_0001181	delayed pseudopodium formation	http://purl.obolibrary.org/obo/GO_0031269	pseudopodium assembly
http://purl.obolibrary.org/obo/DDPHENO_0001093	delayed response to DIF-1	http://purl.obolibrary.org/obo/GO_1903013	response to differentiation-inducing factor 1
http://purl.obolibrary.org/obo/DDPHENO_0000488	delayed response to cAMP	http://purl.obolibrary.org/obo/GO_0051591	response to cAMP
http://purl.obolibrary.org/obo/DDPHENO_0000210	delayed slug development	http://purl.obolibrary.org/obo/GO_0031153	slug development involved in sorocarp development
http://purl.obolibrary.org/obo/DDPHENO_0001432	delayed sporulation	http://purl.obolibrary.org/obo/GO_0043934	sporulation
