defined_class	defined_class_label	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/DDPHENO_0001290	abolished 3',5'-cyclic-AMP phosphodiesterase activity	http://purl.obolibrary.org/obo/GO_0004115	3',5'-cyclic-AMP phosphodiesterase activity
http://purl.obolibrary.org/obo/DDPHENO_0001291	abolished 3',5'-cyclic-GMP phosphodiesterase activity	http://purl.obolibrary.org/obo/GO_0047555	3',5'-cyclic-GMP phosphodiesterase activity
http://purl.obolibrary.org/obo/DDPHENO_0000784	abolished DNA (cytosine-5-)-methyltransferase activity	http://purl.obolibrary.org/obo/GO_0003886	DNA (cytosine-5-)-methyltransferase activity
http://purl.obolibrary.org/obo/DDPHENO_0000802	abolished GTPase activator activity	http://purl.obolibrary.org/obo/GO_0005096	GTPase activator activity
http://purl.obolibrary.org/obo/DDPHENO_0000791	abolished adenylate cyclase activator activity	http://purl.obolibrary.org/obo/GO_0010856	adenylate cyclase activator activity
http://purl.obolibrary.org/obo/DDPHENO_0001293	abolished adenylate cyclase activity	http://purl.obolibrary.org/obo/GO_0004016	adenylate cyclase activity
http://purl.obolibrary.org/obo/DDPHENO_0000788	abolished adenylate cyclase regulator activity	http://purl.obolibrary.org/obo/GO_0010854	adenylate cyclase regulator activity
http://purl.obolibrary.org/obo/DDPHENO_0000330	abolished cAMP binding	http://purl.obolibrary.org/obo/GO_0030552	cAMP binding
http://purl.obolibrary.org/obo/DDPHENO_0001332	abolished catalase activity	http://purl.obolibrary.org/obo/GO_0004096	catalase activity
http://purl.obolibrary.org/obo/DDPHENO_0001289	abolished catalytic activity	http://purl.obolibrary.org/obo/GO_0003824	catalytic activity
http://purl.obolibrary.org/obo/DDPHENO_0000322	abolished cellulose binding	http://purl.obolibrary.org/obo/GO_0030248	cellulose binding
http://purl.obolibrary.org/obo/DDPHENO_0000150	abolished chemorepellant activity	http://purl.obolibrary.org/obo/GO_0045499	chemorepellent activity
http://purl.obolibrary.org/obo/DDPHENO_0001386	abolished cytochrome C oxidase activity	http://purl.obolibrary.org/obo/GO_0004129	cytochrome-c oxidase activity
http://purl.obolibrary.org/obo/DDPHENO_0000334	abolished folic acid binding	http://purl.obolibrary.org/obo/GO_0005542	folic acid binding
http://purl.obolibrary.org/obo/DDPHENO_0001299	abolished guanyl-nucleotide exchange factor activity	http://purl.obolibrary.org/obo/GO_0005085	guanyl-nucleotide exchange factor activity
http://purl.obolibrary.org/obo/DDPHENO_0001295	abolished guanylyl cyclase activity	http://purl.obolibrary.org/obo/GO_0004383	guanylate cyclase activity
http://purl.obolibrary.org/obo/DDPHENO_0000730	abolished histone H3K4 methyltransferase activity	http://purl.obolibrary.org/obo/GO_0042800	histone H3K4 methyltransferase activity
http://purl.obolibrary.org/obo/DDPHENO_0000732	abolished histone H3K79 methyltransferase activity	http://purl.obolibrary.org/obo/GO_0031151	histone H3K79 methyltransferase activity
http://purl.obolibrary.org/obo/DDPHENO_0000734	abolished histone H3K9 methyltransferase activity	http://purl.obolibrary.org/obo/GO_0046974	histone H3K9 methyltransferase activity
http://purl.obolibrary.org/obo/DDPHENO_0001434	abolished histone deacetylase activity	http://purl.obolibrary.org/obo/GO_0004407	histone deacetylase activity
http://purl.obolibrary.org/obo/DDPHENO_0000326	abolished lipid binding	http://purl.obolibrary.org/obo/GO_0008289	lipid binding
http://purl.obolibrary.org/obo/DDPHENO_0000736	abolished myosin heavy chain kinase activity	http://purl.obolibrary.org/obo/GO_0016905	myosin heavy chain kinase activity
http://purl.obolibrary.org/obo/DDPHENO_0001322	abolished peptidyl-proline 4-dioxygenase activity	http://purl.obolibrary.org/obo/GO_0031545	peptidyl-proline 4-dioxygenase activity
http://purl.obolibrary.org/obo/DDPHENO_0000751	abolished phosphatase activity	http://purl.obolibrary.org/obo/GO_0016791	phosphatase activity
http://purl.obolibrary.org/obo/DDPHENO_0001409	abolished phosphatidylinositol binding	http://purl.obolibrary.org/obo/GO_0035091	phosphatidylinositol binding
http://purl.obolibrary.org/obo/DDPHENO_0001410	abolished phosphatidylinositol-4,5-bisphosphate binding	http://purl.obolibrary.org/obo/GO_0005546	phosphatidylinositol-4,5-bisphosphate binding
http://purl.obolibrary.org/obo/DDPHENO_0000746	abolished prenylcysteine carboxyl methyltransferase activity	http://purl.obolibrary.org/obo/GO_0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
http://purl.obolibrary.org/obo/DDPHENO_0000295	abolished protein binding	http://purl.obolibrary.org/obo/GO_0005515	protein binding
http://purl.obolibrary.org/obo/DDPHENO_0000347	abolished protein kinase activity	http://purl.obolibrary.org/obo/GO_0004672	protein kinase activity
http://purl.obolibrary.org/obo/DDPHENO_0000795	abolished protein kinase regulator activity	http://purl.obolibrary.org/obo/GO_0019887	protein kinase regulator activity
http://purl.obolibrary.org/obo/DDPHENO_0000724	abolished protein tyrosine kinase activity	http://purl.obolibrary.org/obo/GO_0004713	protein tyrosine kinase activity
http://purl.obolibrary.org/obo/DDPHENO_0000755	abolished protein tyrosine phosphatase activity	http://purl.obolibrary.org/obo/GO_0004725	protein tyrosine phosphatase activity
http://purl.obolibrary.org/obo/DDPHENO_0000328	abolished small molecule binding	http://purl.obolibrary.org/obo/GO_0036094	small molecule binding
