defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/PHIPO_0000054	expedited asexual sporulation	http://purl.obolibrary.org/obo/GO_0030436	asexual sporulation
http://purl.obolibrary.org/obo/PHIPO_0000056	expedited sexual sporulation	http://purl.obolibrary.org/obo/GO_0034293	sexual sporulation
http://purl.obolibrary.org/obo/PHIPO_0000274	increased asexual spore germination frequency	http://purl.obolibrary.org/obo/GO_0009847	spore germination
http://purl.obolibrary.org/obo/PHIPO_0000287	increased cellular pigment accumulation	http://purl.obolibrary.org/obo/GO_0043482	cellular pigment accumulation
http://purl.obolibrary.org/obo/PHIPO_0000100	increased motility	http://purl.obolibrary.org/obo/GO_0048870	cell motility
