defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/PHIPO_0000047	abnormal asexual reproduction	http://purl.obolibrary.org/obo/GO_0019954	asexual reproduction
http://purl.obolibrary.org/obo/PHIPO_0001018	abnormal asexual spore germination	http://purl.obolibrary.org/obo/GO_0009847	spore germination
http://purl.obolibrary.org/obo/PHIPO_0000500	abnormal biosynthesis of deoxynivalenol	http://purl.obolibrary.org/obo/GO_0009403	toxin biosynthetic process
http://purl.obolibrary.org/obo/PHIPO_0000379	abnormal cell wall organization	http://purl.obolibrary.org/obo/GO_0071555	cell wall organization
http://purl.obolibrary.org/obo/PHIPO_0000925	abnormal cell wall organization or biogenesis	http://purl.obolibrary.org/obo/GO_0071555	cell wall organization
http://purl.obolibrary.org/obo/PHIPO_0001086	abnormal cellular component assembly	http://purl.obolibrary.org/obo/GO_0022607	cellular component assembly
http://purl.obolibrary.org/obo/PHIPO_0000400	abnormal cellular component organization	http://purl.obolibrary.org/obo/GO_0016043	cellular component organization
http://purl.obolibrary.org/obo/PHIPO_0000285	abnormal cellular pigment accumulation	http://purl.obolibrary.org/obo/GO_0043476	pigment accumulation
http://purl.obolibrary.org/obo/PHIPO_0000929	abnormal cellular process	http://purl.obolibrary.org/obo/GO_0009987	cellular process
http://purl.obolibrary.org/obo/PHIPO_0000261	abnormal endocytosis	http://purl.obolibrary.org/obo/GO_0006897	endocytosis
http://purl.obolibrary.org/obo/PHIPO_0001094	abnormal localization	http://purl.obolibrary.org/obo/GO_0051179	localization
http://purl.obolibrary.org/obo/PHIPO_0000981	abnormal meiosis	http://purl.obolibrary.org/obo/GO_0140013	meiotic nuclear division
http://purl.obolibrary.org/obo/PHIPO_0000983	abnormal meiotic cell cycle	http://purl.obolibrary.org/obo/GO_1903046	meiotic cell cycle process
http://purl.obolibrary.org/obo/PHIPO_0000040	abnormal mutualism	http://purl.obolibrary.org/obo/GO_0085030	mutualism
http://purl.obolibrary.org/obo/PHIPO_0000040	abnormal mutualism	http://purl.obolibrary.org/obo/GO_0085030	symbiotic process benefiting host
http://purl.obolibrary.org/obo/PHIPO_0000263	abnormal nuclear transport	http://purl.obolibrary.org/obo/GO_0051169	nuclear transport
http://purl.obolibrary.org/obo/PHIPO_0000449	abnormal pathogen asexual reproduction within host	http://purl.obolibrary.org/obo/GO_0016043	cellular component organization
http://purl.obolibrary.org/obo/PHIPO_0000469	abnormal pathogen asexual sporulation within host	http://purl.obolibrary.org/obo/GO_0030436	asexual sporulation
http://purl.obolibrary.org/obo/PHIPO_0000252	abnormal pathogen host interaction RNA localization	http://purl.obolibrary.org/obo/GO_0006403	RNA localization
http://purl.obolibrary.org/obo/PHIPO_0000229	abnormal pathogen host interaction biosynthesis of deoxynivalenol	http://purl.obolibrary.org/obo/GO_0009403	toxin biosynthetic process
http://purl.obolibrary.org/obo/PHIPO_0000262	abnormal pathogen host interaction endocytosis	http://purl.obolibrary.org/obo/GO_0006897	endocytosis
http://purl.obolibrary.org/obo/PHIPO_0000264	abnormal pathogen host interaction nuclear transport	http://purl.obolibrary.org/obo/GO_0051169	nuclear transport
http://purl.obolibrary.org/obo/PHIPO_0000240	abnormal pathogen host interaction protein localization	http://purl.obolibrary.org/obo/GO_0008104	protein localization
http://purl.obolibrary.org/obo/PHIPO_0000266	abnormal pathogen host interaction protein transport	http://purl.obolibrary.org/obo/GO_0015031	protein transport
http://purl.obolibrary.org/obo/PHIPO_0000218	abnormal pathogen host interaction toxin biosynthetic process	http://purl.obolibrary.org/obo/GO_0009403	toxin biosynthetic process
http://purl.obolibrary.org/obo/PHIPO_0000258	abnormal pathogen host interaction transport	http://purl.obolibrary.org/obo/GO_0006810	transport
http://purl.obolibrary.org/obo/PHIPO_0000268	abnormal pathogen host interaction vacuolar transport	http://purl.obolibrary.org/obo/GO_0007034	vacuolar transport
http://purl.obolibrary.org/obo/PHIPO_0001118	abnormal protein modification	http://purl.obolibrary.org/obo/GO_0036211	protein modification process
http://purl.obolibrary.org/obo/PHIPO_0000265	abnormal protein transport	http://purl.obolibrary.org/obo/GO_0015031	protein transport
http://purl.obolibrary.org/obo/PHIPO_0000043	abnormal reproduction phenotype	http://purl.obolibrary.org/obo/GO_0000003	reproduction
http://purl.obolibrary.org/obo/PHIPO_0000498	abnormal toxin biosynthetic process	http://purl.obolibrary.org/obo/GO_0009403	toxin biosynthetic process
http://purl.obolibrary.org/obo/PHIPO_0000257	abnormal transport	http://purl.obolibrary.org/obo/GO_0006810	transport
http://purl.obolibrary.org/obo/PHIPO_0000267	abnormal vacuolar transport	http://purl.obolibrary.org/obo/GO_0007034	vacuolar transport
http://purl.obolibrary.org/obo/PHIPO_0000019	inviable cell	http://purl.obolibrary.org/obo/GO_0008219	cell death
