defined_class	defined_class_label	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/ZP_0004615	calmodulin-dependent protein kinase activity decreased rate, abnormal	http://purl.obolibrary.org/obo/GO_0004683	calmodulin-dependent protein kinase activity
http://purl.obolibrary.org/obo/ZP_0000092	uroporphyrinogen decarboxylase activity decreased rate, abnormal	http://purl.obolibrary.org/obo/GO_0004853	uroporphyrinogen decarboxylase activity
http://purl.obolibrary.org/obo/ZP_0009440	voltage-gated sodium channel activity decreased rate, abnormal	http://purl.obolibrary.org/obo/GO_0005248	voltage-gated sodium channel activity
