defined_class	defined_class_label	entity	entity_label
http://purl.obolibrary.org/obo/ZP_0106593	EVL shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0000086	EVL
http://purl.obolibrary.org/obo/ZP_0102685	Kupffer's vesicle shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle
http://purl.obolibrary.org/obo/ZP_0004229	Meckel's cartilage shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage
http://purl.obolibrary.org/obo/ZP_0001815	adaxial cell shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0000003	adaxial cell
http://purl.obolibrary.org/obo/ZP_0011260	atrioventricular canal shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0001315	atrioventricular canal
http://purl.obolibrary.org/obo/ZP_0022083	atrioventricular valve shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0005064	atrioventricular valve
http://purl.obolibrary.org/obo/ZP_0009748	atrium shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0000471	atrium
http://purl.obolibrary.org/obo/ZP_0014994	axial fin skeleton shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0001123	axial fin skeleton
http://purl.obolibrary.org/obo/ZP_0104631	ball shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0000006	ball
http://purl.obolibrary.org/obo/ZP_0006952	basihyal cartilage shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0001510	basihyal cartilage
http://purl.obolibrary.org/obo/ZP_0106736	blastomere shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0000093	blastomere
http://purl.obolibrary.org/obo/ZP_0001762	brain shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0000008	brain
http://purl.obolibrary.org/obo/ZP_0005099	branchiostegal ray 3 shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0001280	branchiostegal ray 3
http://purl.obolibrary.org/obo/ZP_0004526	cardiac muscle cell shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0009316	cardiac muscle cell
http://purl.obolibrary.org/obo/ZP_0004978	cardiac ventricle shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0000009	cardiac ventricle
http://purl.obolibrary.org/obo/ZP_0007319	caudal fin shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0001058	caudal fin
http://purl.obolibrary.org/obo/ZP_0016172	central canal shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0000938	central canal
http://purl.obolibrary.org/obo/ZP_0012927	centrum shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0000126	centrum
http://purl.obolibrary.org/obo/ZP_0006422	ceratohyal bone shape, abnormal	http://purl.obolibrary.org/obo/ZFA_0000578	ceratohyal bone
