defined_class	defined_class_label	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/ZP_0019874	MAP kinase kinase activity process quality, abnormal	http://purl.obolibrary.org/obo/GO_0004708	MAP kinase kinase activity
http://purl.obolibrary.org/obo/ZP_0005625	alkaline phosphatase activity process quality, abnormal	http://purl.obolibrary.org/obo/GO_0004035	alkaline phosphatase activity
http://purl.obolibrary.org/obo/ZP_0103730	cytochrome-c oxidase activity process quality, abnormal	http://purl.obolibrary.org/obo/GO_0004129	cytochrome-c oxidase activity
http://purl.obolibrary.org/obo/ZP_0001581	gap junction hemi-channel activity process quality, abnormal	http://purl.obolibrary.org/obo/GO_0055077	gap junction hemi-channel activity
http://purl.obolibrary.org/obo/ZP_0100067	heparan sulfate 6-O-sulfotransferase activity process quality, abnormal	http://purl.obolibrary.org/obo/GO_0017095	heparan sulfate 6-O-sulfotransferase activity
http://purl.obolibrary.org/obo/ZP_0021430	light-activated voltage-gated calcium channel activity process quality, abnormal	http://purl.obolibrary.org/obo/GO_0008086	light-activated voltage-gated calcium channel activity
http://purl.obolibrary.org/obo/ZP_0013080	sodium channel activity process quality, abnormal	http://purl.obolibrary.org/obo/GO_0005272	sodium channel activity
http://purl.obolibrary.org/obo/ZP_0009017	telomerase activity process quality, abnormal	http://purl.obolibrary.org/obo/GO_0003720	telomerase activity
http://purl.obolibrary.org/obo/ZP_0022813	transferase activity, transferring phosphorus-containing groups process quality, abnormal	http://purl.obolibrary.org/obo/GO_0016772	transferase activity, transferring phosphorus-containing groups
http://purl.obolibrary.org/obo/ZP_0013339	tubulin N-acetyltransferase activity process quality, abnormal	http://purl.obolibrary.org/obo/GO_0019799	tubulin N-acetyltransferase activity
http://purl.obolibrary.org/obo/ZP_0013340	tubulin-glycine ligase activity process quality, abnormal	http://purl.obolibrary.org/obo/GO_0070738	tubulin-glycine ligase activity
http://purl.obolibrary.org/obo/ZP_0013917	voltage-gated potassium channel activity process quality, abnormal	http://purl.obolibrary.org/obo/GO_0005249	voltage-gated potassium channel activity
