defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/FBcv_0000423	DNA repair defective	http://purl.obolibrary.org/obo/GO_0006281	DNA repair
http://purl.obolibrary.org/obo/FBcv_0000384	aging defective	http://purl.obolibrary.org/obo/GO_0007568	aging
http://purl.obolibrary.org/obo/FBcv_0000407	auditory perception defective	http://purl.obolibrary.org/obo/GO_0007605	sensory perception of sound
http://purl.obolibrary.org/obo/FBcv_0000686	axis specification defective	http://purl.obolibrary.org/obo/GO_0009798	axis specification
http://purl.obolibrary.org/obo/FBcv_0000387	behavior defective	http://purl.obolibrary.org/obo/GO_0007610	behavior
http://purl.obolibrary.org/obo/FBcv_0000668	cell adhesion defective	http://purl.obolibrary.org/obo/GO_0007155	cell adhesion
http://purl.obolibrary.org/obo/FBcv_0000671	cell cycle defective	http://purl.obolibrary.org/obo/GO_0007049	cell cycle
http://purl.obolibrary.org/obo/FBcv_0000424	cell death defective	http://purl.obolibrary.org/obo/GO_0008219	cell death
http://purl.obolibrary.org/obo/FBcv_0000427	cell growth defective	http://purl.obolibrary.org/obo/GO_0016049	cell growth
http://purl.obolibrary.org/obo/FBcv_0000716	cell migration defective	http://purl.obolibrary.org/obo/GO_0016477	cell migration
http://purl.obolibrary.org/obo/FBcv_0000403	chemosensitive behavior defective	http://purl.obolibrary.org/obo/GO_0007635	chemosensory behavior
http://purl.obolibrary.org/obo/FBcv_0000679	circadian behavior defective	http://purl.obolibrary.org/obo/GO_0048512	circadian behavior
http://purl.obolibrary.org/obo/FBcv_0000394	circadian rhythm defective	http://purl.obolibrary.org/obo/GO_0007623	circadian rhythm
http://purl.obolibrary.org/obo/FBcv_0000684	cold stress response defective	http://purl.obolibrary.org/obo/GO_0009409	response to cold
http://purl.obolibrary.org/obo/FBcv_0006000	copulation defective	http://purl.obolibrary.org/obo/GO_0007620	copulation
http://purl.obolibrary.org/obo/FBcv_0000399	courtship behavior defective	http://purl.obolibrary.org/obo/GO_0007619	courtship behavior
http://purl.obolibrary.org/obo/FBcv_0000433	cytokinesis defective	http://purl.obolibrary.org/obo/GO_0000910	cytokinesis
http://purl.obolibrary.org/obo/FBcv_0000706	diapause defective	http://purl.obolibrary.org/obo/GO_0055115	entry into diapause
http://purl.obolibrary.org/obo/FBcv_0000324	dorsal/ventral axis specification defective	http://purl.obolibrary.org/obo/GO_0009950	dorsal/ventral axis specification
http://purl.obolibrary.org/obo/FBcv_0000670	eclosion defective	http://purl.obolibrary.org/obo/GO_0007562	eclosion
http://purl.obolibrary.org/obo/FBcv_0000396	eclosion rhythm defective	http://purl.obolibrary.org/obo/GO_0008062	eclosion rhythm
http://purl.obolibrary.org/obo/FBcv_0001324	endocytosis defective	http://purl.obolibrary.org/obo/GO_0006897	endocytosis
http://purl.obolibrary.org/obo/FBcv_0000672	endomitotic cell cycle defective	http://purl.obolibrary.org/obo/GO_0007113	endomitotic cell cycle
http://purl.obolibrary.org/obo/FBcv_0001325	exocytosis defective	http://purl.obolibrary.org/obo/GO_0006887	exocytosis
http://purl.obolibrary.org/obo/FBcv_0000419	feeding behavior defective	http://purl.obolibrary.org/obo/GO_0007631	feeding behavior
http://purl.obolibrary.org/obo/FBcv_0000417	flight defective	http://purl.obolibrary.org/obo/GO_0060361	flight
http://purl.obolibrary.org/obo/FBcv_0000388	gravitaxis defective	http://purl.obolibrary.org/obo/GO_0048060	negative gravitaxis
http://purl.obolibrary.org/obo/FBcv_0000420	grooming behavior defective	http://purl.obolibrary.org/obo/GO_0007625	grooming behavior
http://purl.obolibrary.org/obo/FBcv_0000669	hatching behavior defective	http://purl.obolibrary.org/obo/GO_0035187	hatching behavior
http://purl.obolibrary.org/obo/FBcv_0000410	heat stress response defective	http://purl.obolibrary.org/obo/GO_0009408	response to heat
http://purl.obolibrary.org/obo/FBcv_0000448	immune response defective	http://purl.obolibrary.org/obo/GO_0006955	immune response
