location	defined_class
http://purl.obolibrary.org/obo/GO_0031254	http://purl.obolibrary.org/obo/UPHENO_0083857
http://purl.obolibrary.org/obo/GO_0031410	http://purl.obolibrary.org/obo/UPHENO_0083858
http://purl.obolibrary.org/obo/GO_0005905	http://purl.obolibrary.org/obo/UPHENO_0083859
http://purl.obolibrary.org/obo/GO_0031252	http://purl.obolibrary.org/obo/UPHENO_0083860
http://purl.obolibrary.org/obo/GO_0072686	http://purl.obolibrary.org/obo/UPHENO_0083861
http://purl.obolibrary.org/obo/GO_0062201	http://purl.obolibrary.org/obo/UPHENO_0083862
http://purl.obolibrary.org/obo/GO_0009986	http://purl.obolibrary.org/obo/UPHENO_0083863
http://purl.obolibrary.org/obo/GO_0044354	http://purl.obolibrary.org/obo/UPHENO_0083864
http://purl.obolibrary.org/obo/GO_0000331	http://purl.obolibrary.org/obo/UPHENO_0083865
http://purl.obolibrary.org/obo/GO_0005764	http://purl.obolibrary.org/obo/UPHENO_0083866
http://purl.obolibrary.org/obo/GO_1990023	http://purl.obolibrary.org/obo/UPHENO_0083867
http://purl.obolibrary.org/obo/GO_0005765	http://purl.obolibrary.org/obo/UPHENO_0083868
http://purl.obolibrary.org/obo/GO_0005886	http://purl.obolibrary.org/obo/UPHENO_0083869
http://purl.obolibrary.org/obo/GO_0044291	http://purl.obolibrary.org/obo/UPHENO_0083870
http://purl.obolibrary.org/obo/GO_0005815	http://purl.obolibrary.org/obo/UPHENO_0083871
http://purl.obolibrary.org/obo/GO_0031164	http://purl.obolibrary.org/obo/UPHENO_0083872
http://purl.obolibrary.org/obo/GO_0005938	http://purl.obolibrary.org/obo/UPHENO_0083873
http://purl.obolibrary.org/obo/GO_0032154	http://purl.obolibrary.org/obo/UPHENO_0083874
http://purl.obolibrary.org/obo/GO_0030175	http://purl.obolibrary.org/obo/UPHENO_0083875
http://purl.obolibrary.org/obo/GO_0031143	http://purl.obolibrary.org/obo/UPHENO_0083876
http://purl.obolibrary.org/obo/GO_0032195	http://purl.obolibrary.org/obo/UPHENO_0083877
http://purl.obolibrary.org/obo/GO_0036019	http://purl.obolibrary.org/obo/UPHENO_0083878
http://purl.obolibrary.org/obo/GO_0016323	http://purl.obolibrary.org/obo/UPHENO_0083879
http://purl.obolibrary.org/obo/GO_0045335	http://purl.obolibrary.org/obo/UPHENO_0083880
http://purl.obolibrary.org/obo/GO_0005575	http://purl.obolibrary.org/obo/UPHENO_0083881
http://purl.obolibrary.org/obo/GO_0005635	http://purl.obolibrary.org/obo/UPHENO_0083882
http://purl.obolibrary.org/obo/GO_0005813	http://purl.obolibrary.org/obo/UPHENO_0083883
http://purl.obolibrary.org/obo/GO_0005737	http://purl.obolibrary.org/obo/UPHENO_0083884
http://purl.obolibrary.org/obo/GO_0005730	http://purl.obolibrary.org/obo/UPHENO_0083885
http://purl.obolibrary.org/obo/GO_0005874	http://purl.obolibrary.org/obo/UPHENO_0083886
http://purl.obolibrary.org/obo/GO_0005776	http://purl.obolibrary.org/obo/UPHENO_0083887
http://purl.obolibrary.org/obo/GO_0005634	http://purl.obolibrary.org/obo/UPHENO_0083888
