location	role	defined_class
http://purl.obolibrary.org/obo/UBERON_0001088	http://purl.obolibrary.org/obo/CHEBI_24621	http://purl.obolibrary.org/obo/UPHENO_0089293
http://purl.obolibrary.org/obo/UBERON_0001088	http://purl.obolibrary.org/obo/CHEBI_50906	http://purl.obolibrary.org/obo/UPHENO_0089294
http://purl.obolibrary.org/obo/UBERON_0001132	http://purl.obolibrary.org/obo/CHEBI_24621	http://purl.obolibrary.org/obo/UPHENO_0082533
http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/CHEBI_50906	http://purl.obolibrary.org/obo/UPHENO_0079534
http://purl.obolibrary.org/obo/UBERON_0006314	http://purl.obolibrary.org/obo/CHEBI_22695	http://purl.obolibrary.org/obo/UPHENO_0082534
http://purl.obolibrary.org/obo/UBERON_0001132	http://purl.obolibrary.org/obo/CHEBI_50906	http://purl.obolibrary.org/obo/UPHENO_0082535
http://purl.obolibrary.org/obo/UBERON_0001977	http://purl.obolibrary.org/obo/CHEBI_50906	http://purl.obolibrary.org/obo/UPHENO_0082536
http://purl.obolibrary.org/obo/UBERON_0001977	http://purl.obolibrary.org/obo/CHEBI_37527	http://purl.obolibrary.org/obo/UPHENO_0082537
http://purl.obolibrary.org/obo/UBERON_0006314	http://purl.obolibrary.org/obo/CHEBI_50906	http://purl.obolibrary.org/obo/UPHENO_0082539
http://purl.obolibrary.org/obo/UBERON_0001977	http://purl.obolibrary.org/obo/CHEBI_22695	http://purl.obolibrary.org/obo/UPHENO_0082541
http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/CHEBI_50113	http://purl.obolibrary.org/obo/UPHENO_0079537
http://purl.obolibrary.org/obo/UBERON_0006314	http://purl.obolibrary.org/obo/CHEBI_37527	http://purl.obolibrary.org/obo/UPHENO_0082543
