anatomical_entity	location	defined_class
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0014670	http://purl.obolibrary.org/obo/UPHENO_0081951
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0007756	http://purl.obolibrary.org/obo/UPHENO_0081952
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0014672	http://purl.obolibrary.org/obo/UPHENO_0081953
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0014668	http://purl.obolibrary.org/obo/UPHENO_0081954
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0007741	http://purl.obolibrary.org/obo/UPHENO_0081955
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0007750	http://purl.obolibrary.org/obo/UPHENO_0081956
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0014674	http://purl.obolibrary.org/obo/UPHENO_0081957
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0007747	http://purl.obolibrary.org/obo/UPHENO_0081958
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0014675	http://purl.obolibrary.org/obo/UPHENO_0081959
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0014508	http://purl.obolibrary.org/obo/UPHENO_0081960
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0007747	http://purl.obolibrary.org/obo/UPHENO_0081961
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0007744	http://purl.obolibrary.org/obo/UPHENO_0081962
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0014670	http://purl.obolibrary.org/obo/UPHENO_0081963
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0014508	http://purl.obolibrary.org/obo/UPHENO_0081964
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0014675	http://purl.obolibrary.org/obo/UPHENO_0081965
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0014674	http://purl.obolibrary.org/obo/UPHENO_0081966
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0014672	http://purl.obolibrary.org/obo/UPHENO_0081967
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0014507	http://purl.obolibrary.org/obo/UPHENO_0081968
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0007735	http://purl.obolibrary.org/obo/UPHENO_0081969
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0007741	http://purl.obolibrary.org/obo/UPHENO_0081970
