location	defined_class
http://purl.obolibrary.org/obo/GO_0031254	http://purl.obolibrary.org/obo/UPHENO_0082958
http://purl.obolibrary.org/obo/GO_0031410	http://purl.obolibrary.org/obo/UPHENO_0082959
http://purl.obolibrary.org/obo/GO_0005905	http://purl.obolibrary.org/obo/UPHENO_0082960
http://purl.obolibrary.org/obo/GO_0031252	http://purl.obolibrary.org/obo/UPHENO_0082961
http://purl.obolibrary.org/obo/GO_0072686	http://purl.obolibrary.org/obo/UPHENO_0082962
http://purl.obolibrary.org/obo/GO_0062201	http://purl.obolibrary.org/obo/UPHENO_0082963
http://purl.obolibrary.org/obo/GO_0009986	http://purl.obolibrary.org/obo/UPHENO_0082964
http://purl.obolibrary.org/obo/GO_0110085	http://purl.obolibrary.org/obo/UPHENO_0090112
http://purl.obolibrary.org/obo/GO_0044354	http://purl.obolibrary.org/obo/UPHENO_0082965
http://purl.obolibrary.org/obo/GO_0005764	http://purl.obolibrary.org/obo/UPHENO_0082966
http://purl.obolibrary.org/obo/GO_1990023	http://purl.obolibrary.org/obo/UPHENO_0082967
http://purl.obolibrary.org/obo/GO_0005765	http://purl.obolibrary.org/obo/UPHENO_0082968
http://purl.obolibrary.org/obo/GO_0005886	http://purl.obolibrary.org/obo/UPHENO_0082969
http://purl.obolibrary.org/obo/GO_0044291	http://purl.obolibrary.org/obo/UPHENO_0082970
http://purl.obolibrary.org/obo/GO_0005815	http://purl.obolibrary.org/obo/UPHENO_0082971
http://purl.obolibrary.org/obo/GO_0005938	http://purl.obolibrary.org/obo/UPHENO_0082972
http://purl.obolibrary.org/obo/GO_0031164	http://purl.obolibrary.org/obo/UPHENO_0082973
http://purl.obolibrary.org/obo/GO_0032154	http://purl.obolibrary.org/obo/UPHENO_0082974
http://purl.obolibrary.org/obo/GO_0030175	http://purl.obolibrary.org/obo/UPHENO_0082975
http://purl.obolibrary.org/obo/GO_0031143	http://purl.obolibrary.org/obo/UPHENO_0082976
http://purl.obolibrary.org/obo/GO_0032195	http://purl.obolibrary.org/obo/UPHENO_0082977
http://purl.obolibrary.org/obo/GO_0036019	http://purl.obolibrary.org/obo/UPHENO_0082978
http://purl.obolibrary.org/obo/GO_0071944	http://purl.obolibrary.org/obo/UPHENO_0082979
http://purl.obolibrary.org/obo/GO_0016323	http://purl.obolibrary.org/obo/UPHENO_0082980
http://purl.obolibrary.org/obo/GO_0016324	http://purl.obolibrary.org/obo/UPHENO_0082981
http://purl.obolibrary.org/obo/GO_0045335	http://purl.obolibrary.org/obo/UPHENO_0082982
http://purl.obolibrary.org/obo/GO_0005575	http://purl.obolibrary.org/obo/UPHENO_0082983
http://purl.obolibrary.org/obo/GO_0005635	http://purl.obolibrary.org/obo/UPHENO_0082984
http://purl.obolibrary.org/obo/GO_0005813	http://purl.obolibrary.org/obo/UPHENO_0082985
http://purl.obolibrary.org/obo/GO_0005737	http://purl.obolibrary.org/obo/UPHENO_0082986
http://purl.obolibrary.org/obo/GO_0005730	http://purl.obolibrary.org/obo/UPHENO_0082987
http://purl.obolibrary.org/obo/GO_0005874	http://purl.obolibrary.org/obo/UPHENO_0082988
http://purl.obolibrary.org/obo/GO_0005776	http://purl.obolibrary.org/obo/UPHENO_0082989
http://purl.obolibrary.org/obo/GO_0005634	http://purl.obolibrary.org/obo/UPHENO_0082990
