cellular_component	defined_class
http://purl.obolibrary.org/obo/GO_0005777	http://purl.obolibrary.org/obo/UPHENO_0067699
http://purl.obolibrary.org/obo/GO_0097470	http://purl.obolibrary.org/obo/UPHENO_0067700
http://purl.obolibrary.org/obo/GO_0005730	http://purl.obolibrary.org/obo/UPHENO_0067701
http://purl.obolibrary.org/obo/GO_0031985	http://purl.obolibrary.org/obo/UPHENO_0067702
http://purl.obolibrary.org/obo/GO_0005813	http://purl.obolibrary.org/obo/UPHENO_0067703
http://purl.obolibrary.org/obo/GO_0001533	http://purl.obolibrary.org/obo/UPHENO_0067704
http://purl.obolibrary.org/obo/GO_0005856	http://purl.obolibrary.org/obo/UPHENO_0067705
http://purl.obolibrary.org/obo/GO_0005815	http://purl.obolibrary.org/obo/UPHENO_0067706
http://purl.obolibrary.org/obo/GO_0005739	http://purl.obolibrary.org/obo/UPHENO_0067707
http://purl.obolibrary.org/obo/GO_0032279	http://purl.obolibrary.org/obo/UPHENO_0067708
http://purl.obolibrary.org/obo/GO_0098846	http://purl.obolibrary.org/obo/UPHENO_0067709
http://purl.obolibrary.org/obo/GO_0032391	http://purl.obolibrary.org/obo/UPHENO_0067710
http://purl.obolibrary.org/obo/GO_0015629	http://purl.obolibrary.org/obo/UPHENO_0067711
http://purl.obolibrary.org/obo/GO_0005783	http://purl.obolibrary.org/obo/UPHENO_0067712
http://purl.obolibrary.org/obo/GO_0045202	http://purl.obolibrary.org/obo/UPHENO_0067713
http://purl.obolibrary.org/obo/GO_0005743	http://purl.obolibrary.org/obo/UPHENO_0067714
http://purl.obolibrary.org/obo/GO_0001669	http://purl.obolibrary.org/obo/UPHENO_0067716
http://purl.obolibrary.org/obo/GO_0097208	http://purl.obolibrary.org/obo/UPHENO_0067717
http://purl.obolibrary.org/obo/GO_0031012	http://purl.obolibrary.org/obo/UPHENO_0067718
http://purl.obolibrary.org/obo/GO_0031091	http://purl.obolibrary.org/obo/UPHENO_0067719
http://purl.obolibrary.org/obo/GO_0043229	http://purl.obolibrary.org/obo/UPHENO_0085968
http://purl.obolibrary.org/obo/GO_0033391	http://purl.obolibrary.org/obo/UPHENO_0089913
http://purl.obolibrary.org/obo/GO_0033270	http://purl.obolibrary.org/obo/UPHENO_0067720
