molecular_function	defined_class
http://purl.obolibrary.org/obo/GO_0009008	http://purl.obolibrary.org/obo/UPHENO_0089905
http://purl.obolibrary.org/obo/GO_0004016	http://purl.obolibrary.org/obo/UPHENO_0083275
http://purl.obolibrary.org/obo/GO_0030248	http://purl.obolibrary.org/obo/UPHENO_0083276
http://purl.obolibrary.org/obo/GO_0004713	http://purl.obolibrary.org/obo/UPHENO_0089906
http://purl.obolibrary.org/obo/GO_0003886	http://purl.obolibrary.org/obo/UPHENO_0089907
http://purl.obolibrary.org/obo/GO_0016791	http://purl.obolibrary.org/obo/UPHENO_0089908
http://purl.obolibrary.org/obo/GO_0019887	http://purl.obolibrary.org/obo/UPHENO_0089909
http://purl.obolibrary.org/obo/GO_0004568	http://purl.obolibrary.org/obo/UPHENO_0080770
http://purl.obolibrary.org/obo/GO_0004031	http://purl.obolibrary.org/obo/UPHENO_0066887
http://purl.obolibrary.org/obo/GO_0004095	http://purl.obolibrary.org/obo/UPHENO_0066888
http://purl.obolibrary.org/obo/GO_0017168	http://purl.obolibrary.org/obo/UPHENO_0066889
http://purl.obolibrary.org/obo/GO_0017113	http://purl.obolibrary.org/obo/UPHENO_0066890
http://purl.obolibrary.org/obo/GO_0008455	http://purl.obolibrary.org/obo/UPHENO_0066891
http://purl.obolibrary.org/obo/GO_0004347	http://purl.obolibrary.org/obo/UPHENO_0066892
http://purl.obolibrary.org/obo/GO_0019172	http://purl.obolibrary.org/obo/UPHENO_0066893
http://purl.obolibrary.org/obo/GO_0004658	http://purl.obolibrary.org/obo/UPHENO_0066894
http://purl.obolibrary.org/obo/GO_0004854	http://purl.obolibrary.org/obo/UPHENO_0066896
