cell	compared_cell	location	defined_class
http://purl.obolibrary.org/obo/CL_0001062	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080967
http://purl.obolibrary.org/obo/CL_0000492	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080968
http://purl.obolibrary.org/obo/CL_0000818	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080970
http://purl.obolibrary.org/obo/CL_0000492	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080973
http://purl.obolibrary.org/obo/CL_0000895	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080974
http://purl.obolibrary.org/obo/CL_0000897	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080975
http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080976
http://purl.obolibrary.org/obo/CL_0000895	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080977
http://purl.obolibrary.org/obo/CL_0001062	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080978
http://purl.obolibrary.org/obo/CL_0000788	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080980
http://purl.obolibrary.org/obo/CL_0000787	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080982
http://purl.obolibrary.org/obo/CL_0000816	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080984
http://purl.obolibrary.org/obo/CL_0011025	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080988
http://purl.obolibrary.org/obo/CL_0000788	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080990
http://purl.obolibrary.org/obo/CL_0000787	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080992
