location	defined_class
http://purl.obolibrary.org/obo/GO_0031254	http://purl.obolibrary.org/obo/UPHENO_0083600
http://purl.obolibrary.org/obo/GO_0031410	http://purl.obolibrary.org/obo/UPHENO_0083601
http://purl.obolibrary.org/obo/GO_0005905	http://purl.obolibrary.org/obo/UPHENO_0083602
http://purl.obolibrary.org/obo/GO_0031252	http://purl.obolibrary.org/obo/UPHENO_0083603
http://purl.obolibrary.org/obo/GO_0072686	http://purl.obolibrary.org/obo/UPHENO_0083604
http://purl.obolibrary.org/obo/GO_0062201	http://purl.obolibrary.org/obo/UPHENO_0083605
http://purl.obolibrary.org/obo/GO_0009986	http://purl.obolibrary.org/obo/UPHENO_0083606
http://purl.obolibrary.org/obo/GO_0110085	http://purl.obolibrary.org/obo/UPHENO_0090013
http://purl.obolibrary.org/obo/GO_0044354	http://purl.obolibrary.org/obo/UPHENO_0083607
http://purl.obolibrary.org/obo/GO_0000331	http://purl.obolibrary.org/obo/UPHENO_0083608
http://purl.obolibrary.org/obo/GO_0005764	http://purl.obolibrary.org/obo/UPHENO_0083609
http://purl.obolibrary.org/obo/GO_1990023	http://purl.obolibrary.org/obo/UPHENO_0083610
http://purl.obolibrary.org/obo/GO_0005765	http://purl.obolibrary.org/obo/UPHENO_0083611
http://purl.obolibrary.org/obo/GO_0005886	http://purl.obolibrary.org/obo/UPHENO_0083612
http://purl.obolibrary.org/obo/GO_0044291	http://purl.obolibrary.org/obo/UPHENO_0083613
http://purl.obolibrary.org/obo/GO_0005815	http://purl.obolibrary.org/obo/UPHENO_0083614
http://purl.obolibrary.org/obo/GO_0005938	http://purl.obolibrary.org/obo/UPHENO_0083615
http://purl.obolibrary.org/obo/GO_0031164	http://purl.obolibrary.org/obo/UPHENO_0083616
http://purl.obolibrary.org/obo/GO_0032154	http://purl.obolibrary.org/obo/UPHENO_0083617
http://purl.obolibrary.org/obo/GO_0030175	http://purl.obolibrary.org/obo/UPHENO_0083618
http://purl.obolibrary.org/obo/GO_0031143	http://purl.obolibrary.org/obo/UPHENO_0083619
http://purl.obolibrary.org/obo/GO_0032195	http://purl.obolibrary.org/obo/UPHENO_0083620
http://purl.obolibrary.org/obo/GO_0036019	http://purl.obolibrary.org/obo/UPHENO_0083621
http://purl.obolibrary.org/obo/GO_0071944	http://purl.obolibrary.org/obo/UPHENO_0083622
http://purl.obolibrary.org/obo/GO_0016323	http://purl.obolibrary.org/obo/UPHENO_0083623
http://purl.obolibrary.org/obo/GO_0016324	http://purl.obolibrary.org/obo/UPHENO_0083624
http://purl.obolibrary.org/obo/GO_0045335	http://purl.obolibrary.org/obo/UPHENO_0083625
http://purl.obolibrary.org/obo/GO_0005575	http://purl.obolibrary.org/obo/UPHENO_0083626
http://purl.obolibrary.org/obo/GO_0005635	http://purl.obolibrary.org/obo/UPHENO_0083627
http://purl.obolibrary.org/obo/GO_0005813	http://purl.obolibrary.org/obo/UPHENO_0083628
http://purl.obolibrary.org/obo/GO_0005737	http://purl.obolibrary.org/obo/UPHENO_0083629
http://purl.obolibrary.org/obo/GO_0005730	http://purl.obolibrary.org/obo/UPHENO_0083630
http://purl.obolibrary.org/obo/GO_0005874	http://purl.obolibrary.org/obo/UPHENO_0083631
http://purl.obolibrary.org/obo/GO_0005776	http://purl.obolibrary.org/obo/UPHENO_0083632
http://purl.obolibrary.org/obo/GO_0005634	http://purl.obolibrary.org/obo/UPHENO_0083633
