molecular_function	defined_class
http://purl.obolibrary.org/obo/GO_0003990	http://purl.obolibrary.org/obo/UPHENO_0048652
http://purl.obolibrary.org/obo/GO_0003870	http://purl.obolibrary.org/obo/UPHENO_0048653
http://purl.obolibrary.org/obo/GO_0004365	http://purl.obolibrary.org/obo/UPHENO_0048654
http://purl.obolibrary.org/obo/GO_0004585	http://purl.obolibrary.org/obo/UPHENO_0048655
http://purl.obolibrary.org/obo/GO_0004340	http://purl.obolibrary.org/obo/UPHENO_0048656
http://purl.obolibrary.org/obo/GO_0004104	http://purl.obolibrary.org/obo/UPHENO_0048657
http://purl.obolibrary.org/obo/GO_0004743	http://purl.obolibrary.org/obo/UPHENO_0048658
http://purl.obolibrary.org/obo/GO_0004102	http://purl.obolibrary.org/obo/UPHENO_0048659
http://purl.obolibrary.org/obo/GO_0004465	http://purl.obolibrary.org/obo/UPHENO_0048660
http://purl.obolibrary.org/obo/GO_0003674	http://purl.obolibrary.org/obo/UPHENO_0048661
http://purl.obolibrary.org/obo/GO_0004601	http://purl.obolibrary.org/obo/UPHENO_0048662
http://purl.obolibrary.org/obo/GO_0004602	http://purl.obolibrary.org/obo/UPHENO_0048664
http://purl.obolibrary.org/obo/GO_0004607	http://purl.obolibrary.org/obo/UPHENO_0048665
http://purl.obolibrary.org/obo/GO_0004806	http://purl.obolibrary.org/obo/UPHENO_0048666
http://purl.obolibrary.org/obo/GO_0016206	http://purl.obolibrary.org/obo/UPHENO_0048667
http://purl.obolibrary.org/obo/GO_0004096	http://purl.obolibrary.org/obo/UPHENO_0048668
http://purl.obolibrary.org/obo/GO_0008474	http://purl.obolibrary.org/obo/UPHENO_0048669
http://purl.obolibrary.org/obo/GO_0008112	http://purl.obolibrary.org/obo/UPHENO_0048670
http://purl.obolibrary.org/obo/GO_0004111	http://purl.obolibrary.org/obo/UPHENO_0048671
http://purl.obolibrary.org/obo/GO_0004035	http://purl.obolibrary.org/obo/UPHENO_0048672
http://purl.obolibrary.org/obo/GO_0004351	http://purl.obolibrary.org/obo/UPHENO_0048673
http://purl.obolibrary.org/obo/GO_0004731	http://purl.obolibrary.org/obo/UPHENO_0048674
http://purl.obolibrary.org/obo/GO_0004511	http://purl.obolibrary.org/obo/UPHENO_0048675
http://purl.obolibrary.org/obo/GO_0008119	http://purl.obolibrary.org/obo/UPHENO_0048676
http://purl.obolibrary.org/obo/GO_0004656	http://purl.obolibrary.org/obo/UPHENO_0048677
