chemical_entity	defined_class
http://purl.obolibrary.org/obo/CHEBI_33568	http://purl.obolibrary.org/obo/UPHENO_0048744
http://purl.obolibrary.org/obo/PR_000003777	http://purl.obolibrary.org/obo/UPHENO_0048745
http://purl.obolibrary.org/obo/CHEBI_2700	http://purl.obolibrary.org/obo/UPHENO_0084752
http://purl.obolibrary.org/obo/CHEBI_17855	http://purl.obolibrary.org/obo/UPHENO_0048746
http://purl.obolibrary.org/obo/CHEBI_36477	http://purl.obolibrary.org/obo/UPHENO_0048747
http://purl.obolibrary.org/obo/CHEBI_16526	http://purl.obolibrary.org/obo/UPHENO_0048748
http://purl.obolibrary.org/obo/CHEBI_36313	http://purl.obolibrary.org/obo/UPHENO_0084753
http://purl.obolibrary.org/obo/CHEBI_29073	http://purl.obolibrary.org/obo/UPHENO_0082941
http://purl.obolibrary.org/obo/CHEBI_15354	http://purl.obolibrary.org/obo/UPHENO_0084754
http://purl.obolibrary.org/obo/PR_000016480	http://purl.obolibrary.org/obo/UPHENO_0084404
http://purl.obolibrary.org/obo/CHEBI_15355	http://purl.obolibrary.org/obo/UPHENO_0048749
http://purl.obolibrary.org/obo/CHEBI_84690	http://purl.obolibrary.org/obo/UPHENO_0048757
http://purl.obolibrary.org/obo/PR_000003964	http://purl.obolibrary.org/obo/UPHENO_0048758
http://purl.obolibrary.org/obo/PR_Q15848	http://purl.obolibrary.org/obo/UPHENO_0082942
http://purl.obolibrary.org/obo/CHEBI_84125	http://purl.obolibrary.org/obo/UPHENO_0048752
http://purl.obolibrary.org/obo/PR_000003969	http://purl.obolibrary.org/obo/UPHENO_0048760
http://purl.obolibrary.org/obo/CHEBI_546807	http://purl.obolibrary.org/obo/UPHENO_0048753
http://purl.obolibrary.org/obo/CHEBI_84118	http://purl.obolibrary.org/obo/UPHENO_0048755
http://purl.obolibrary.org/obo/PR_000003968	http://purl.obolibrary.org/obo/UPHENO_0075666
http://purl.obolibrary.org/obo/CHEBI_30413	http://purl.obolibrary.org/obo/UPHENO_0075667
http://purl.obolibrary.org/obo/CHEBI_26523	http://purl.obolibrary.org/obo/UPHENO_0075668
http://purl.obolibrary.org/obo/CHEBI_33699	http://purl.obolibrary.org/obo/UPHENO_0048762
http://purl.obolibrary.org/obo/CHEBI_15422	http://purl.obolibrary.org/obo/UPHENO_0075669
http://purl.obolibrary.org/obo/CHEBI_27363	http://purl.obolibrary.org/obo/UPHENO_0075670
http://purl.obolibrary.org/obo/CHEBI_16240	http://purl.obolibrary.org/obo/UPHENO_0075671
http://purl.obolibrary.org/obo/CHEBI_36080	http://purl.obolibrary.org/obo/UPHENO_0082943
http://purl.obolibrary.org/obo/CHEBI_16134	http://purl.obolibrary.org/obo/UPHENO_0089357
http://purl.obolibrary.org/obo/CHEBI_33697	http://purl.obolibrary.org/obo/UPHENO_0082944
http://purl.obolibrary.org/obo/CHEBI_8653	http://purl.obolibrary.org/obo/UPHENO_0082945
http://purl.obolibrary.org/obo/CHEBI_17489	http://purl.obolibrary.org/obo/UPHENO_0082946
http://purl.obolibrary.org/obo/CHEBI_26401	http://purl.obolibrary.org/obo/UPHENO_0048750
http://purl.obolibrary.org/obo/CHEBI_68641	http://purl.obolibrary.org/obo/UPHENO_0048754
http://purl.obolibrary.org/obo/CHEBI_16247	http://purl.obolibrary.org/obo/UPHENO_0048756
http://purl.obolibrary.org/obo/CHEBI_35143	http://purl.obolibrary.org/obo/UPHENO_0048759
http://purl.obolibrary.org/obo/CHEBI_16285	http://purl.obolibrary.org/obo/UPHENO_0048761
