cellular_component	defined_class
http://purl.obolibrary.org/obo/GO_0042827	http://purl.obolibrary.org/obo/UPHENO_0010740
http://purl.obolibrary.org/obo/GO_0005739	http://purl.obolibrary.org/obo/UPHENO_0010741
http://purl.obolibrary.org/obo/GO_0005783	http://purl.obolibrary.org/obo/UPHENO_0010742
http://purl.obolibrary.org/obo/GO_0005575	http://purl.obolibrary.org/obo/UPHENO_0010743
http://purl.obolibrary.org/obo/GO_0005929	http://purl.obolibrary.org/obo/UPHENO_0010744
http://purl.obolibrary.org/obo/GO_0045202	http://purl.obolibrary.org/obo/UPHENO_0084222
http://purl.obolibrary.org/obo/GO_0031514	http://purl.obolibrary.org/obo/UPHENO_0010745
http://purl.obolibrary.org/obo/GO_0005777	http://purl.obolibrary.org/obo/UPHENO_0010746
http://purl.obolibrary.org/obo/GO_0043229	http://purl.obolibrary.org/obo/UPHENO_0086296
http://purl.obolibrary.org/obo/GO_0005840	http://purl.obolibrary.org/obo/UPHENO_0086297
http://purl.obolibrary.org/obo/GO_0005764	http://purl.obolibrary.org/obo/UPHENO_0010747
http://purl.obolibrary.org/obo/GO_0097730	http://purl.obolibrary.org/obo/UPHENO_0010748
http://purl.obolibrary.org/obo/GO_0031594	http://purl.obolibrary.org/obo/UPHENO_0076896
http://purl.obolibrary.org/obo/CL_0000202	http://purl.obolibrary.org/obo/UPHENO_0076866
http://purl.obolibrary.org/obo/CL_0000855	http://purl.obolibrary.org/obo/UPHENO_0076878
