behavior_process	defined_class
http://purl.obolibrary.org/obo/NBO_0000313	http://purl.obolibrary.org/obo/UPHENO_0074360
http://purl.obolibrary.org/obo/NBO_0000159	http://purl.obolibrary.org/obo/UPHENO_0074363
http://purl.obolibrary.org/obo/NBO_0000336	http://purl.obolibrary.org/obo/UPHENO_0074364
http://purl.obolibrary.org/obo/NBO_0000338	http://purl.obolibrary.org/obo/UPHENO_0084424
http://purl.obolibrary.org/obo/NBO_0000218	http://purl.obolibrary.org/obo/UPHENO_0074368
http://purl.obolibrary.org/obo/NBO_0001728	http://purl.obolibrary.org/obo/UPHENO_0074370
http://purl.obolibrary.org/obo/NBO_0002362	http://purl.obolibrary.org/obo/UPHENO_0074371
http://purl.obolibrary.org/obo/NBO_0000381	http://purl.obolibrary.org/obo/UPHENO_0080062
http://purl.obolibrary.org/obo/NBO_0002021	http://purl.obolibrary.org/obo/UPHENO_0074373
http://purl.obolibrary.org/obo/NBO_0000342	http://purl.obolibrary.org/obo/UPHENO_0074374
http://purl.obolibrary.org/obo/NBO_0000222	http://purl.obolibrary.org/obo/UPHENO_0074375
http://purl.obolibrary.org/obo/NBO_0000224	http://purl.obolibrary.org/obo/UPHENO_0074378
http://purl.obolibrary.org/obo/NBO_0000027	http://purl.obolibrary.org/obo/UPHENO_0074379
http://purl.obolibrary.org/obo/NBO_0000107	http://purl.obolibrary.org/obo/UPHENO_0074382
http://purl.obolibrary.org/obo/NBO_0000448	http://purl.obolibrary.org/obo/UPHENO_0074383
http://purl.obolibrary.org/obo/NBO_0000449	http://purl.obolibrary.org/obo/UPHENO_0084425
http://purl.obolibrary.org/obo/NBO_0002234	http://purl.obolibrary.org/obo/UPHENO_0074384
http://purl.obolibrary.org/obo/NBO_0000091	http://purl.obolibrary.org/obo/UPHENO_0074385
http://purl.obolibrary.org/obo/NBO_0000092	http://purl.obolibrary.org/obo/UPHENO_0074386
http://purl.obolibrary.org/obo/NBO_0000371	http://purl.obolibrary.org/obo/UPHENO_0074388
http://purl.obolibrary.org/obo/NBO_0000013	http://purl.obolibrary.org/obo/UPHENO_0084426
http://purl.obolibrary.org/obo/NBO_0000332	http://purl.obolibrary.org/obo/UPHENO_0074393
http://purl.obolibrary.org/obo/NBO_0000211	http://purl.obolibrary.org/obo/UPHENO_0080550
http://purl.obolibrary.org/obo/NBO_0001763	http://purl.obolibrary.org/obo/UPHENO_0074395
http://purl.obolibrary.org/obo/NBO_0000335	http://purl.obolibrary.org/obo/UPHENO_0074361
http://purl.obolibrary.org/obo/NBO_0001987	http://purl.obolibrary.org/obo/UPHENO_0074366
http://purl.obolibrary.org/obo/NBO_0000331	http://purl.obolibrary.org/obo/UPHENO_0074392
http://purl.obolibrary.org/obo/NBO_0000333	http://purl.obolibrary.org/obo/UPHENO_0074394
