entity	defined_class
http://purl.obolibrary.org/obo/UBERON_0004277	http://purl.obolibrary.org/obo/UPHENO_0018381
http://purl.obolibrary.org/obo/UBERON_0000056	http://purl.obolibrary.org/obo/UPHENO_0018382
http://purl.obolibrary.org/obo/UBERON_0005487	http://purl.obolibrary.org/obo/UPHENO_0018383
http://purl.obolibrary.org/obo/UBERON_0001264	http://purl.obolibrary.org/obo/UPHENO_0018384
http://purl.obolibrary.org/obo/UBERON_0001043	http://purl.obolibrary.org/obo/UPHENO_0018385
http://purl.obolibrary.org/obo/UBERON_0002259	http://purl.obolibrary.org/obo/UPHENO_0018387
http://purl.obolibrary.org/obo/UBERON_0000992	http://purl.obolibrary.org/obo/UPHENO_0018388
http://purl.obolibrary.org/obo/UBERON_0002114	http://purl.obolibrary.org/obo/UPHENO_0018389
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0018390
http://purl.obolibrary.org/obo/UBERON_0002370	http://purl.obolibrary.org/obo/UPHENO_0018391
http://purl.obolibrary.org/obo/UBERON_0013765	http://purl.obolibrary.org/obo/UPHENO_0018392
http://purl.obolibrary.org/obo/UBERON_0000965	http://purl.obolibrary.org/obo/UPHENO_0018393
http://purl.obolibrary.org/obo/UBERON_0001514	http://purl.obolibrary.org/obo/UPHENO_0018394
http://purl.obolibrary.org/obo/UBERON_0001535	http://purl.obolibrary.org/obo/UPHENO_0018396
http://purl.obolibrary.org/obo/UBERON_0000948	http://purl.obolibrary.org/obo/UPHENO_0018397
http://purl.obolibrary.org/obo/UBERON_0000945	http://purl.obolibrary.org/obo/UPHENO_0018398
http://purl.obolibrary.org/obo/UBERON_0001759	http://purl.obolibrary.org/obo/UPHENO_0018399
http://purl.obolibrary.org/obo/UBERON_0000044	http://purl.obolibrary.org/obo/UPHENO_0018400
http://purl.obolibrary.org/obo/UBERON_0002223	http://purl.obolibrary.org/obo/UPHENO_0018401
http://purl.obolibrary.org/obo/UBERON_0001650	http://purl.obolibrary.org/obo/UPHENO_0018402
http://purl.obolibrary.org/obo/UBERON_0002101	http://purl.obolibrary.org/obo/UPHENO_0018403
http://purl.obolibrary.org/obo/UBERON_0001771	http://purl.obolibrary.org/obo/UPHENO_0018404
http://purl.obolibrary.org/obo/UBERON_0006345	http://purl.obolibrary.org/obo/UPHENO_0018405
http://purl.obolibrary.org/obo/UBERON_0001594	http://purl.obolibrary.org/obo/UPHENO_0018406
http://purl.obolibrary.org/obo/UBERON_0001473	http://purl.obolibrary.org/obo/UPHENO_0018407
http://purl.obolibrary.org/obo/UBERON_0003499	http://purl.obolibrary.org/obo/UPHENO_0018408
http://purl.obolibrary.org/obo/UBERON_0001153	http://purl.obolibrary.org/obo/UPHENO_0082551
http://purl.obolibrary.org/obo/UBERON_0002066	http://purl.obolibrary.org/obo/UPHENO_0018409
http://purl.obolibrary.org/obo/UBERON_0001138	http://purl.obolibrary.org/obo/UPHENO_0018410
http://purl.obolibrary.org/obo/UBERON_0001532	http://purl.obolibrary.org/obo/UPHENO_0018411
http://purl.obolibrary.org/obo/UBERON_0002083	http://purl.obolibrary.org/obo/UPHENO_0018412
http://purl.obolibrary.org/obo/UBERON_0003074	http://purl.obolibrary.org/obo/UPHENO_0018413
http://purl.obolibrary.org/obo/UBERON_0001691	http://purl.obolibrary.org/obo/UPHENO_0018414
http://purl.obolibrary.org/obo/UBERON_0003890	http://purl.obolibrary.org/obo/UPHENO_0018415
http://purl.obolibrary.org/obo/UBERON_0001072	http://purl.obolibrary.org/obo/UPHENO_0018416
http://purl.obolibrary.org/obo/UBERON_0000160	http://purl.obolibrary.org/obo/UPHENO_0018417
http://purl.obolibrary.org/obo/UBERON_0000019	http://purl.obolibrary.org/obo/UPHENO_0018418
http://purl.obolibrary.org/obo/UBERON_0001647	http://purl.obolibrary.org/obo/UPHENO_0018419
http://purl.obolibrary.org/obo/UBERON_0001723	http://purl.obolibrary.org/obo/UPHENO_0085555
http://purl.obolibrary.org/obo/UBERON_0001887	http://purl.obolibrary.org/obo/UPHENO_0018420
http://purl.obolibrary.org/obo/UBERON_0002415	http://purl.obolibrary.org/obo/UPHENO_0018421
http://purl.obolibrary.org/obo/UBERON_0010163	http://purl.obolibrary.org/obo/UPHENO_0018422
http://purl.obolibrary.org/obo/UBERON_0010284	http://purl.obolibrary.org/obo/UPHENO_0018423
http://purl.obolibrary.org/obo/UBERON_0010230	http://purl.obolibrary.org/obo/UPHENO_0018424
http://purl.obolibrary.org/obo/UBERON_0014381	http://purl.obolibrary.org/obo/UPHENO_0018425
http://purl.obolibrary.org/obo/UBERON_0001690	http://purl.obolibrary.org/obo/UPHENO_0018426
http://purl.obolibrary.org/obo/GO_0005739	http://purl.obolibrary.org/obo/UPHENO_0088591
http://purl.obolibrary.org/obo/UBERON_0000059	http://purl.obolibrary.org/obo/UPHENO_0018386
http://purl.obolibrary.org/obo/UBERON_0002108	http://purl.obolibrary.org/obo/UPHENO_0018395
