location	defined_class
http://purl.obolibrary.org/obo/GO_0031254	http://purl.obolibrary.org/obo/UPHENO_0083476
http://purl.obolibrary.org/obo/GO_0031410	http://purl.obolibrary.org/obo/UPHENO_0083477
http://purl.obolibrary.org/obo/GO_0005905	http://purl.obolibrary.org/obo/UPHENO_0083478
http://purl.obolibrary.org/obo/GO_0031252	http://purl.obolibrary.org/obo/UPHENO_0083479
http://purl.obolibrary.org/obo/GO_0072686	http://purl.obolibrary.org/obo/UPHENO_0083480
http://purl.obolibrary.org/obo/GO_0062201	http://purl.obolibrary.org/obo/UPHENO_0083481
http://purl.obolibrary.org/obo/GO_0009986	http://purl.obolibrary.org/obo/UPHENO_0083482
http://purl.obolibrary.org/obo/GO_0110085	http://purl.obolibrary.org/obo/UPHENO_0089353
http://purl.obolibrary.org/obo/GO_0044354	http://purl.obolibrary.org/obo/UPHENO_0083483
http://purl.obolibrary.org/obo/GO_0000331	http://purl.obolibrary.org/obo/UPHENO_0083484
http://purl.obolibrary.org/obo/GO_0005764	http://purl.obolibrary.org/obo/UPHENO_0083485
http://purl.obolibrary.org/obo/GO_1990023	http://purl.obolibrary.org/obo/UPHENO_0083486
http://purl.obolibrary.org/obo/GO_0005765	http://purl.obolibrary.org/obo/UPHENO_0083487
http://purl.obolibrary.org/obo/GO_0005886	http://purl.obolibrary.org/obo/UPHENO_0083488
http://purl.obolibrary.org/obo/GO_0044291	http://purl.obolibrary.org/obo/UPHENO_0083489
http://purl.obolibrary.org/obo/GO_0005815	http://purl.obolibrary.org/obo/UPHENO_0083490
http://purl.obolibrary.org/obo/GO_0005938	http://purl.obolibrary.org/obo/UPHENO_0083491
http://purl.obolibrary.org/obo/GO_0031164	http://purl.obolibrary.org/obo/UPHENO_0083492
http://purl.obolibrary.org/obo/GO_0032154	http://purl.obolibrary.org/obo/UPHENO_0083493
http://purl.obolibrary.org/obo/GO_0030175	http://purl.obolibrary.org/obo/UPHENO_0083494
http://purl.obolibrary.org/obo/GO_0031143	http://purl.obolibrary.org/obo/UPHENO_0083495
http://purl.obolibrary.org/obo/GO_0032195	http://purl.obolibrary.org/obo/UPHENO_0083496
http://purl.obolibrary.org/obo/GO_0036019	http://purl.obolibrary.org/obo/UPHENO_0083497
http://purl.obolibrary.org/obo/GO_0016323	http://purl.obolibrary.org/obo/UPHENO_0083498
http://purl.obolibrary.org/obo/GO_0045335	http://purl.obolibrary.org/obo/UPHENO_0083499
http://purl.obolibrary.org/obo/GO_0005575	http://purl.obolibrary.org/obo/UPHENO_0083500
http://purl.obolibrary.org/obo/GO_0005635	http://purl.obolibrary.org/obo/UPHENO_0083501
http://purl.obolibrary.org/obo/GO_0005813	http://purl.obolibrary.org/obo/UPHENO_0083502
http://purl.obolibrary.org/obo/GO_0005737	http://purl.obolibrary.org/obo/UPHENO_0083503
http://purl.obolibrary.org/obo/GO_0005730	http://purl.obolibrary.org/obo/UPHENO_0083504
http://purl.obolibrary.org/obo/GO_0005874	http://purl.obolibrary.org/obo/UPHENO_0083505
http://purl.obolibrary.org/obo/GO_0005776	http://purl.obolibrary.org/obo/UPHENO_0083506
http://purl.obolibrary.org/obo/GO_0005634	http://purl.obolibrary.org/obo/UPHENO_0083507
