entity	defined_class
http://purl.obolibrary.org/obo/BFO_0000001	http://purl.obolibrary.org/obo/UPHENO_0082030
http://purl.obolibrary.org/obo/CHEBI_35623	http://purl.obolibrary.org/obo/UPHENO_0078750
http://purl.obolibrary.org/obo/CHEBI_50949	http://purl.obolibrary.org/obo/UPHENO_0078756
http://purl.obolibrary.org/obo/CHEBI_23888	http://purl.obolibrary.org/obo/UPHENO_0078760
http://purl.obolibrary.org/obo/CHEBI_38462	http://purl.obolibrary.org/obo/UPHENO_0078769
http://purl.obolibrary.org/obo/CHEBI_38867	http://purl.obolibrary.org/obo/UPHENO_0078773
http://purl.obolibrary.org/obo/CHEBI_38324	http://purl.obolibrary.org/obo/UPHENO_0078778
http://purl.obolibrary.org/obo/CHEBI_38808	http://purl.obolibrary.org/obo/UPHENO_0078784
http://purl.obolibrary.org/obo/CHEBI_25435	http://purl.obolibrary.org/obo/UPHENO_0078790
