cell	compared_cell	location	defined_class
http://purl.obolibrary.org/obo/CL_0001062	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082559
http://purl.obolibrary.org/obo/CL_0000492	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082560
http://purl.obolibrary.org/obo/CL_0000818	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082562
http://purl.obolibrary.org/obo/CL_0000492	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082565
http://purl.obolibrary.org/obo/CL_0000895	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082566
http://purl.obolibrary.org/obo/CL_0000897	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082567
http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082568
http://purl.obolibrary.org/obo/CL_0000895	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082569
http://purl.obolibrary.org/obo/CL_0001062	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082570
http://purl.obolibrary.org/obo/CL_0000788	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082572
http://purl.obolibrary.org/obo/CL_0000787	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082574
http://purl.obolibrary.org/obo/CL_0000816	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082576
http://purl.obolibrary.org/obo/CL_0000799	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082577
http://purl.obolibrary.org/obo/CL_0000799	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082579
http://purl.obolibrary.org/obo/CL_0000798	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082580
http://purl.obolibrary.org/obo/CL_0000788	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082582
http://purl.obolibrary.org/obo/CL_0000787	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082583
http://purl.obolibrary.org/obo/CL_0000980	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082589
http://purl.obolibrary.org/obo/CL_0001044	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0082590
