biological_process	cellular_component	defined_class
http://purl.obolibrary.org/obo/GO_0070925	http://purl.obolibrary.org/obo/GO_0044352	http://purl.obolibrary.org/obo/UPHENO_0083010
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/GO_0044352	http://purl.obolibrary.org/obo/UPHENO_0083011
http://purl.obolibrary.org/obo/GO_0006887	http://purl.obolibrary.org/obo/GO_0032195	http://purl.obolibrary.org/obo/UPHENO_0083012
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/GO_0032195	http://purl.obolibrary.org/obo/UPHENO_0083013
http://purl.obolibrary.org/obo/GO_0070925	http://purl.obolibrary.org/obo/GO_0005575	http://purl.obolibrary.org/obo/UPHENO_0083014
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/GO_0005575	http://purl.obolibrary.org/obo/UPHENO_0083015
http://purl.obolibrary.org/obo/GO_0006887	http://purl.obolibrary.org/obo/GO_0005575	http://purl.obolibrary.org/obo/UPHENO_0083016
