chemical	defined_class
http://purl.obolibrary.org/obo/CHEBI_15422	http://purl.obolibrary.org/obo/UPHENO_0047280
http://purl.obolibrary.org/obo/CHEBI_16865	http://purl.obolibrary.org/obo/UPHENO_0047281
http://purl.obolibrary.org/obo/CHEBI_24431	http://purl.obolibrary.org/obo/UPHENO_0047282
http://purl.obolibrary.org/obo/CHEBI_15355	http://purl.obolibrary.org/obo/UPHENO_0047283
