chemical_entity	defined_class
http://purl.obolibrary.org/obo/PR_000003777	http://purl.obolibrary.org/obo/UPHENO_0066777
http://purl.obolibrary.org/obo/CHEBI_2700	http://purl.obolibrary.org/obo/UPHENO_0084474
http://purl.obolibrary.org/obo/CHEBI_17855	http://purl.obolibrary.org/obo/UPHENO_0066778
http://purl.obolibrary.org/obo/CHEBI_36477	http://purl.obolibrary.org/obo/UPHENO_0066779
http://purl.obolibrary.org/obo/CHEBI_16526	http://purl.obolibrary.org/obo/UPHENO_0066780
http://purl.obolibrary.org/obo/CHEBI_36313	http://purl.obolibrary.org/obo/UPHENO_0084475
http://purl.obolibrary.org/obo/CHEBI_29073	http://purl.obolibrary.org/obo/UPHENO_0081712
http://purl.obolibrary.org/obo/CHEBI_15354	http://purl.obolibrary.org/obo/UPHENO_0084476
http://purl.obolibrary.org/obo/PR_000016480	http://purl.obolibrary.org/obo/UPHENO_0083855
http://purl.obolibrary.org/obo/CHEBI_15355	http://purl.obolibrary.org/obo/UPHENO_0083856
http://purl.obolibrary.org/obo/PR_Q15848	http://purl.obolibrary.org/obo/UPHENO_0081713
http://purl.obolibrary.org/obo/PR_Q10469	http://purl.obolibrary.org/obo/UPHENO_0081714
http://purl.obolibrary.org/obo/PR_000008175	http://purl.obolibrary.org/obo/UPHENO_0081715
http://purl.obolibrary.org/obo/PR_000023661	http://purl.obolibrary.org/obo/UPHENO_0081716
http://purl.obolibrary.org/obo/CHEBI_28384	http://purl.obolibrary.org/obo/UPHENO_0066789
http://purl.obolibrary.org/obo/CHEBI_546807	http://purl.obolibrary.org/obo/UPHENO_0066788
http://purl.obolibrary.org/obo/CHEBI_28115	http://purl.obolibrary.org/obo/UPHENO_0066790
http://purl.obolibrary.org/obo/PR_000005061	http://purl.obolibrary.org/obo/UPHENO_0081717
http://purl.obolibrary.org/obo/PR_P32754	http://purl.obolibrary.org/obo/UPHENO_0081718
http://purl.obolibrary.org/obo/PR_000003964	http://purl.obolibrary.org/obo/UPHENO_0066782
http://purl.obolibrary.org/obo/CHEBI_18408	http://purl.obolibrary.org/obo/UPHENO_0066783
http://purl.obolibrary.org/obo/CHEBI_33234	http://purl.obolibrary.org/obo/UPHENO_0066785
http://purl.obolibrary.org/obo/PR_000004089	http://purl.obolibrary.org/obo/UPHENO_0081719
http://purl.obolibrary.org/obo/CHEBI_12777	http://purl.obolibrary.org/obo/UPHENO_0066786
http://purl.obolibrary.org/obo/CHEBI_35584	http://purl.obolibrary.org/obo/UPHENO_0089895
