anatomical_entity	anatomical_entity_detached_from	defined_class
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0002276	http://purl.obolibrary.org/obo/UPHENO_0081657
http://purl.obolibrary.org/obo/GO_0001669	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0090104
http://purl.obolibrary.org/obo/UBERON_0008266	http://purl.obolibrary.org/obo/UBERON_0001753	http://purl.obolibrary.org/obo/UPHENO_0081658
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/GO_0001673	http://purl.obolibrary.org/obo/UPHENO_0090105
http://purl.obolibrary.org/obo/UBERON_0002165	http://purl.obolibrary.org/obo/UBERON_0002349	http://purl.obolibrary.org/obo/UPHENO_0090106
http://purl.obolibrary.org/obo/UBERON_0002233	http://purl.obolibrary.org/obo/UBERON_0002276	http://purl.obolibrary.org/obo/UPHENO_0081661
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001753	http://purl.obolibrary.org/obo/UPHENO_0081663
http://purl.obolibrary.org/obo/UBERON_0002425	http://purl.obolibrary.org/obo/UBERON_0002349	http://purl.obolibrary.org/obo/UPHENO_0090107
http://purl.obolibrary.org/obo/UBERON_0002165	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0090108
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0081667
http://purl.obolibrary.org/obo/GO_0001669	http://purl.obolibrary.org/obo/GO_0001673	http://purl.obolibrary.org/obo/UPHENO_0090109
http://purl.obolibrary.org/obo/UBERON_0002425	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0090110
http://purl.obolibrary.org/obo/UBERON_0008266	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0081668
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0002349	http://purl.obolibrary.org/obo/UPHENO_0090111
http://purl.obolibrary.org/obo/UBERON_0002233	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0081669
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0000966	http://purl.obolibrary.org/obo/UPHENO_0081670
http://purl.obolibrary.org/obo/UBERON_0005273	http://purl.obolibrary.org/obo/UBERON_0001705	http://purl.obolibrary.org/obo/UPHENO_0081671
http://purl.obolibrary.org/obo/UBERON_0005273	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0081672
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001705	http://purl.obolibrary.org/obo/UPHENO_0081673
http://purl.obolibrary.org/obo/UBERON_0010230	http://purl.obolibrary.org/obo/UBERON_0000966	http://purl.obolibrary.org/obo/UPHENO_0081674
http://purl.obolibrary.org/obo/UBERON_0005273	http://purl.obolibrary.org/obo/UBERON_0009565	http://purl.obolibrary.org/obo/UPHENO_0081675
http://purl.obolibrary.org/obo/UBERON_0010230	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0081676
http://purl.obolibrary.org/obo/UBERON_0005273	http://purl.obolibrary.org/obo/UBERON_0009567	http://purl.obolibrary.org/obo/UPHENO_0081677
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0009565	http://purl.obolibrary.org/obo/UPHENO_0081678
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0009567	http://purl.obolibrary.org/obo/UPHENO_0081679
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0000019	http://purl.obolibrary.org/obo/UPHENO_0081659
http://purl.obolibrary.org/obo/UBERON_0000966	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0081660
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001863	http://purl.obolibrary.org/obo/UPHENO_0081662
http://purl.obolibrary.org/obo/UBERON_0000966	http://purl.obolibrary.org/obo/UBERON_0000019	http://purl.obolibrary.org/obo/UPHENO_0081664
http://purl.obolibrary.org/obo/UBERON_0002281	http://purl.obolibrary.org/obo/UBERON_0001863	http://purl.obolibrary.org/obo/UPHENO_0081665
http://purl.obolibrary.org/obo/UBERON_0002281	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0081666
