anatomical_entity	malformed	defined_class
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000646	http://purl.obolibrary.org/obo/UPHENO_0076957
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0030010	http://purl.obolibrary.org/obo/UPHENO_0085381
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0030005	http://purl.obolibrary.org/obo/UPHENO_0076958
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0030004	http://purl.obolibrary.org/obo/UPHENO_0076959
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0030001	http://purl.obolibrary.org/obo/UPHENO_0076960
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0030012	http://purl.obolibrary.org/obo/UPHENO_0085382
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0030000	http://purl.obolibrary.org/obo/UPHENO_0076961
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0030007	http://purl.obolibrary.org/obo/UPHENO_0076962
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0030006	http://purl.obolibrary.org/obo/UPHENO_0076963
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000630	http://purl.obolibrary.org/obo/UPHENO_0076964
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000620	http://purl.obolibrary.org/obo/UPHENO_0076965
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0030003	http://purl.obolibrary.org/obo/UPHENO_0076966
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000636	http://purl.obolibrary.org/obo/UPHENO_0076967
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0030002	http://purl.obolibrary.org/obo/UPHENO_0076968
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000615	http://purl.obolibrary.org/obo/UPHENO_0076969
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0030013	http://purl.obolibrary.org/obo/UPHENO_0085383
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0030009	http://purl.obolibrary.org/obo/UPHENO_0085384
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001465	http://purl.obolibrary.org/obo/UPHENO_0076970
