location	role	defined_class
http://purl.obolibrary.org/obo/UBERON_0001088	http://purl.obolibrary.org/obo/CHEBI_24621	http://purl.obolibrary.org/obo/UPHENO_0081543
http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/CHEBI_50906	http://purl.obolibrary.org/obo/UPHENO_0076286
http://purl.obolibrary.org/obo/UBERON_0001088	http://purl.obolibrary.org/obo/CHEBI_50906	http://purl.obolibrary.org/obo/UPHENO_0081544
http://purl.obolibrary.org/obo/UBERON_0001977	http://purl.obolibrary.org/obo/CHEBI_50114	http://purl.obolibrary.org/obo/UPHENO_0076292
http://purl.obolibrary.org/obo/UBERON_0001359	http://purl.obolibrary.org/obo/CHEBI_50906	http://purl.obolibrary.org/obo/UPHENO_0081545
http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/CHEBI_24621	http://purl.obolibrary.org/obo/UPHENO_0076293
http://purl.obolibrary.org/obo/UBERON_0001977	http://purl.obolibrary.org/obo/CHEBI_50906	http://purl.obolibrary.org/obo/UPHENO_0076285
http://purl.obolibrary.org/obo/UBERON_0006314	http://purl.obolibrary.org/obo/CHEBI_50906	http://purl.obolibrary.org/obo/UPHENO_0081547
http://purl.obolibrary.org/obo/UBERON_0001359	http://purl.obolibrary.org/obo/CHEBI_25212	http://purl.obolibrary.org/obo/UPHENO_0081549
http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/CHEBI_50113	http://purl.obolibrary.org/obo/UPHENO_0076290
http://purl.obolibrary.org/obo/UBERON_0006314	http://purl.obolibrary.org/obo/CHEBI_37527	http://purl.obolibrary.org/obo/UPHENO_0081550
