cell	compared_cell	location	defined_class
http://purl.obolibrary.org/obo/CL_0001062	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080857
http://purl.obolibrary.org/obo/CL_0000818	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080859
http://purl.obolibrary.org/obo/CL_0000972	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080863
http://purl.obolibrary.org/obo/CL_0000895	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080865
http://purl.obolibrary.org/obo/CL_0000897	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080866
http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080867
http://purl.obolibrary.org/obo/CL_0000895	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080868
http://purl.obolibrary.org/obo/CL_0001062	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080869
http://purl.obolibrary.org/obo/CL_0000907	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080871
http://purl.obolibrary.org/obo/CL_0000788	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080872
http://purl.obolibrary.org/obo/CL_0000624	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080874
