defined_class	defined_class_label	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/XPO_0131695	decreased MAP kinase activity	http://purl.obolibrary.org/obo/GO_0004707	MAP kinase activity
http://purl.obolibrary.org/obo/XPO_0141799	decreased catalytic activity	http://purl.obolibrary.org/obo/GO_0003824	catalytic activity
http://purl.obolibrary.org/obo/XPO_0141800	decreased cyclase activity	http://purl.obolibrary.org/obo/GO_0009975	cyclase activity
http://purl.obolibrary.org/obo/XPO_0133390	decreased cysteine-type endopeptidase activity	http://purl.obolibrary.org/obo/GO_0004197	cysteine-type endopeptidase activity
http://purl.obolibrary.org/obo/XPO_0141807	decreased demethylase activity	http://purl.obolibrary.org/obo/GO_0032451	demethylase activity
http://purl.obolibrary.org/obo/XPO_0141803	decreased hydrolase activity	http://purl.obolibrary.org/obo/GO_0016787	hydrolase activity
http://purl.obolibrary.org/obo/XPO_0141805	decreased isomerase activity	http://purl.obolibrary.org/obo/GO_0016853	isomerase activity
http://purl.obolibrary.org/obo/XPO_0141806	decreased ligase activity	http://purl.obolibrary.org/obo/GO_0016874	ligase activity
http://purl.obolibrary.org/obo/XPO_0141804	decreased lyase activity	http://purl.obolibrary.org/obo/GO_0016829	lyase activity
http://purl.obolibrary.org/obo/XPO_0141801	decreased oxidoreductase activity	http://purl.obolibrary.org/obo/GO_0016491	oxidoreductase activity
http://purl.obolibrary.org/obo/XPO_0141808	decreased peptidoglycan muralytic activity	http://purl.obolibrary.org/obo/GO_0061783	peptidoglycan muralytic activity
http://purl.obolibrary.org/obo/XPO_0133389	decreased ribosomal protein S6 kinase activity	http://purl.obolibrary.org/obo/GO_0004711	ribosomal protein S6 kinase activity
http://purl.obolibrary.org/obo/XPO_0141802	decreased transferase activity	http://purl.obolibrary.org/obo/GO_0016740	transferase activity
