defined_class	defined_class_label	biological_process	biological_process_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0103624	absent anterior/posterior pattern specification in midgut	http://purl.obolibrary.org/obo/GO_0009952	anterior/posterior pattern specification	http://purl.obolibrary.org/obo/XAO_0000103	midgut
http://purl.obolibrary.org/obo/XPO_0103623	absent axon regeneration in optic nerve	http://purl.obolibrary.org/obo/GO_0031103	axon regeneration	http://purl.obolibrary.org/obo/XAO_0000188	optic nerve
http://purl.obolibrary.org/obo/XPO_0141965	absent cilium motility in alimentary system	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0141960	absent cilium motility in brain	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0000010	brain
http://purl.obolibrary.org/obo/XPO_0141968	absent cilium motility in ciliated cell	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0005017	ciliated cell
http://purl.obolibrary.org/obo/XPO_0141971	absent cilium motility in ciliated epidermal cell	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0000031	ciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0141972	absent cilium motility in ciliated non-epidermal cell	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0004517	ciliated non-epidermal cell
http://purl.obolibrary.org/obo/XPO_0141967	absent cilium motility in esophagus	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0000127	esophagus
http://purl.obolibrary.org/obo/XPO_0141959	absent cilium motility in floor plate	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0000306	floor plate
http://purl.obolibrary.org/obo/XPO_0141958	absent cilium motility in left-right organizer	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0005170	left-right organizer
http://purl.obolibrary.org/obo/XPO_0141969	absent cilium motility in monociliated cell	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0005137	monociliated cell
http://purl.obolibrary.org/obo/XPO_0141973	absent cilium motility in monociliated epidermal cell	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0005178	monociliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0141961	absent cilium motility in mucociliary epithelium	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0004393	mucociliary epithelium
http://purl.obolibrary.org/obo/XPO_0141970	absent cilium motility in multiciliated cell	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0005139	multiciliated cell
http://purl.obolibrary.org/obo/XPO_0141974	absent cilium motility in multiciliated epidermal cell	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0005179	multiciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0141964	absent cilium motility in olfactory pit	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0000275	olfactory pit
http://purl.obolibrary.org/obo/XPO_0141962	absent cilium motility in pronephric kidney	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0002000	pronephric kidney
http://purl.obolibrary.org/obo/XPO_0141963	absent cilium motility in pronephric nephrostome	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0000062	pronephric nephrostome
http://purl.obolibrary.org/obo/XPO_0141966	absent cilium motility in stomach	http://purl.obolibrary.org/obo/GO_0003341	cilium movement	http://purl.obolibrary.org/obo/XAO_0000128	stomach
http://purl.obolibrary.org/obo/XPO_0133402	absent determination of left/right symmetry in alimentary system	http://purl.obolibrary.org/obo/GO_0007368	determination of left/right symmetry	http://purl.obolibrary.org/obo/XAO_0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0133400	absent determination of left/right symmetry in intestine	http://purl.obolibrary.org/obo/GO_0007368	determination of left/right symmetry	http://purl.obolibrary.org/obo/XAO_0000129	intestine
http://purl.obolibrary.org/obo/XPO_0133401	absent determination of left/right symmetry in lateral plate mesoderm	http://purl.obolibrary.org/obo/GO_0007368	determination of left/right symmetry	http://purl.obolibrary.org/obo/XAO_0000311	lateral plate mesoderm
http://purl.obolibrary.org/obo/XPO_0103625	absent mitotic cytokinesis in primary spermatogonium	http://purl.obolibrary.org/obo/GO_0000281	mitotic cytokinesis	http://purl.obolibrary.org/obo/XAO_0003018	primary spermatogonium
