defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/XPO_0103771	arrested axis elongation	http://purl.obolibrary.org/obo/GO_0003401	axis elongation
http://purl.obolibrary.org/obo/XPO_0103772	arrested developmental process	http://purl.obolibrary.org/obo/GO_0032502	developmental process
http://purl.obolibrary.org/obo/XPO_0141596	arrested metamorphosis	http://purl.obolibrary.org/obo/GO_0007552	metamorphosis
