defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0141540	inverted dorsal-ventral axis in hindlimb zeugopod	http://purl.obolibrary.org/obo/XAO_0005203	dorsal-ventral axis	http://purl.obolibrary.org/obo/XAO_0004298	hindlimb zeugopod
http://purl.obolibrary.org/obo/XPO_0141541	inverted joint region in hindlimb	http://purl.obolibrary.org/obo/XAO_0004313	joint region	http://purl.obolibrary.org/obo/XAO_0003031	hindlimb
