defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/ZP_0007452	photoreceptor cell outer segment organization delayed, abnormal	http://purl.obolibrary.org/obo/GO_0035845	photoreceptor cell outer segment organization
http://purl.obolibrary.org/obo/ZP_0010087	pigment accumulation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0043476	pigment accumulation
http://purl.obolibrary.org/obo/ZP_0017158	pigment granule aggregation in cell center delayed, abnormal	http://purl.obolibrary.org/obo/GO_0051877	pigment granule aggregation in cell center
http://purl.obolibrary.org/obo/ZP_0004336	pigmentation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0043473	pigmentation
http://purl.obolibrary.org/obo/ZP_0008364	post-anal tail morphogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0036342	post-anal tail morphogenesis
http://purl.obolibrary.org/obo/ZP_0008497	posterior lateral line neuromast primordium migration delayed, abnormal	http://purl.obolibrary.org/obo/GO_0048920	posterior lateral line neuromast primordium migration
http://purl.obolibrary.org/obo/ZP_0143275	primary neural tube formation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0014020	primary neural tube formation
http://purl.obolibrary.org/obo/ZP_0001693	pronephric duct development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0039022	pronephric duct development
http://purl.obolibrary.org/obo/ZP_0010365	pronephric glomerulus morphogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0035775	pronephric glomerulus morphogenesis
http://purl.obolibrary.org/obo/ZP_0140470	regulation of cell cycle delayed, abnormal	http://purl.obolibrary.org/obo/GO_0051726	regulation of cell cycle
http://purl.obolibrary.org/obo/ZP_0142116	response to absence of light delayed, abnormal	http://purl.obolibrary.org/obo/GO_0009646	response to absence of light
http://purl.obolibrary.org/obo/ZP_0143421	response to auditory stimulus delayed, abnormal	http://purl.obolibrary.org/obo/GO_0010996	response to auditory stimulus
http://purl.obolibrary.org/obo/ZP_0015302	response to bacterium delayed, abnormal	http://purl.obolibrary.org/obo/GO_0009617	response to bacterium
http://purl.obolibrary.org/obo/ZP_0141171	response to light stimulus delayed, abnormal	http://purl.obolibrary.org/obo/GO_0009416	response to light stimulus
http://purl.obolibrary.org/obo/ZP_0130941	response to stress delayed, abnormal	http://purl.obolibrary.org/obo/GO_0006950	response to stress
http://purl.obolibrary.org/obo/ZP_0004190	retina development in camera-type eye delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060041	retina development in camera-type eye
http://purl.obolibrary.org/obo/ZP_0001397	retina layer formation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0010842	retina layer formation
http://purl.obolibrary.org/obo/ZP_0007156	retina morphogenesis in camera-type eye delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060042	retina morphogenesis in camera-type eye
http://purl.obolibrary.org/obo/ZP_0005781	retinal bipolar neuron differentiation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060040	retinal bipolar neuron differentiation
http://purl.obolibrary.org/obo/ZP_0009000	retinal cone cell differentiation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0042670	retinal cone cell differentiation
http://purl.obolibrary.org/obo/ZP_0014905	retinal ganglion cell axon guidance delayed, abnormal	http://purl.obolibrary.org/obo/GO_0031290	retinal ganglion cell axon guidance
http://purl.obolibrary.org/obo/ZP_0010270	retinal rod cell differentiation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060221	retinal rod cell differentiation
http://purl.obolibrary.org/obo/ZP_0018154	semicircular canal development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060872	semicircular canal development
http://purl.obolibrary.org/obo/ZP_0016051	semicircular canal formation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060876	semicircular canal formation
http://purl.obolibrary.org/obo/ZP_0143257	semicircular canal fusion delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060879	semicircular canal fusion
http://purl.obolibrary.org/obo/ZP_0146041	semicircular canal morphogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0048752	semicircular canal morphogenesis
http://purl.obolibrary.org/obo/ZP_0131256	seminiferous tubule development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0072520	seminiferous tubule development
http://purl.obolibrary.org/obo/ZP_0140268	sexual reproduction delayed, abnormal	http://purl.obolibrary.org/obo/GO_0019953	sexual reproduction
http://purl.obolibrary.org/obo/ZP_0000658	skeletal muscle tissue development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0007519	skeletal muscle tissue development
http://purl.obolibrary.org/obo/ZP_0139967	skeletal myofibril assembly delayed, abnormal	http://purl.obolibrary.org/obo/GO_0014866	skeletal myofibril assembly
http://purl.obolibrary.org/obo/ZP_0022325	sleep delayed, abnormal	http://purl.obolibrary.org/obo/GO_0030431	sleep
http://purl.obolibrary.org/obo/ZP_0022715	somite development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0061053	somite development
http://purl.obolibrary.org/obo/ZP_0000565	somitogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0001756	somitogenesis
http://purl.obolibrary.org/obo/ZP_0012632	spermatogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0007283	spermatogenesis
http://purl.obolibrary.org/obo/ZP_0009845	spinal cord oligodendrocyte cell differentiation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0021529	spinal cord oligodendrocyte cell differentiation
http://purl.obolibrary.org/obo/ZP_0003747	sprouting angiogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0002040	sprouting angiogenesis
http://purl.obolibrary.org/obo/ZP_0012335	startle response delayed, abnormal	http://purl.obolibrary.org/obo/GO_0001964	startle response
http://purl.obolibrary.org/obo/ZP_0009615	striated muscle cell differentiation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0051146	striated muscle cell differentiation
http://purl.obolibrary.org/obo/ZP_0017011	swim bladder development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0048794	swim bladder development
http://purl.obolibrary.org/obo/ZP_0002455	swim bladder formation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0048797	swim bladder formation
http://purl.obolibrary.org/obo/ZP_0020238	swim bladder inflation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0048798	swim bladder inflation
http://purl.obolibrary.org/obo/ZP_0104784	thigmotaxis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0001966	thigmotaxis
http://purl.obolibrary.org/obo/ZP_0009486	thymus development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0048538	thymus development
http://purl.obolibrary.org/obo/ZP_0007189	tooth mineralization delayed, abnormal	http://purl.obolibrary.org/obo/GO_0034505	tooth mineralization
http://purl.obolibrary.org/obo/ZP_0011873	trunk neural crest cell migration delayed, abnormal	http://purl.obolibrary.org/obo/GO_0036484	trunk neural crest cell migration
http://purl.obolibrary.org/obo/ZP_0146690	ventricular cardiac muscle cell membrane repolarization delayed, abnormal	http://purl.obolibrary.org/obo/GO_0099625	ventricular cardiac muscle cell membrane repolarization
http://purl.obolibrary.org/obo/ZP_0137510	ventriculo bulbo valve morphogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0003187	ventriculo bulbo valve morphogenesis
http://purl.obolibrary.org/obo/ZP_0001004	vestibular reflex delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060005	vestibular reflex
http://purl.obolibrary.org/obo/ZP_0012633	vitellogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0007296	vitellogenesis
http://purl.obolibrary.org/obo/ZP_0011599	xanthophore differentiation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0050936	xanthophore differentiation
