defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/ZP_0000767	RNA processing premature, abnormal	http://purl.obolibrary.org/obo/GO_0006396	RNA processing
http://purl.obolibrary.org/obo/ZP_0012067	adipose tissue development premature, abnormal	http://purl.obolibrary.org/obo/GO_0060612	adipose tissue development
http://purl.obolibrary.org/obo/ZP_0010890	angioblast cell migration premature, abnormal	http://purl.obolibrary.org/obo/GO_0035476	angioblast cell migration
http://purl.obolibrary.org/obo/ZP_0021874	camera-type eye development premature, abnormal	http://purl.obolibrary.org/obo/GO_0043010	camera-type eye development
http://purl.obolibrary.org/obo/ZP_0006770	chondrocyte development premature, abnormal	http://purl.obolibrary.org/obo/GO_0002063	chondrocyte development
http://purl.obolibrary.org/obo/ZP_0009520	chondrocyte hypertrophy premature, abnormal	http://purl.obolibrary.org/obo/GO_0003415	chondrocyte hypertrophy
http://purl.obolibrary.org/obo/ZP_0008801	collateral sprouting in absence of injury premature, abnormal	http://purl.obolibrary.org/obo/GO_0048669	collateral sprouting in absence of injury
http://purl.obolibrary.org/obo/ZP_0144507	developmental process involved in reproduction premature, abnormal	http://purl.obolibrary.org/obo/GO_0003006	developmental process involved in reproduction
http://purl.obolibrary.org/obo/ZP_0021873	embryo development premature, abnormal	http://purl.obolibrary.org/obo/GO_0009790	embryo development
http://purl.obolibrary.org/obo/ZP_0004198	endochondral ossification premature, abnormal	http://purl.obolibrary.org/obo/GO_0001958	endochondral ossification
http://purl.obolibrary.org/obo/ZP_0011593	germ cell migration premature, abnormal	http://purl.obolibrary.org/obo/GO_0008354	germ cell migration
http://purl.obolibrary.org/obo/ZP_0014641	hatching premature, abnormal	http://purl.obolibrary.org/obo/GO_0035188	hatching
http://purl.obolibrary.org/obo/ZP_0018999	male gamete generation premature, abnormal	http://purl.obolibrary.org/obo/GO_0048232	male gamete generation
http://purl.obolibrary.org/obo/ZP_0010999	myelination premature, abnormal	http://purl.obolibrary.org/obo/GO_0042552	myelination
http://purl.obolibrary.org/obo/ZP_0101863	neuromast deposition premature, abnormal	http://purl.obolibrary.org/obo/GO_0048885	neuromast deposition
http://purl.obolibrary.org/obo/ZP_0006189	neuron differentiation premature, abnormal	http://purl.obolibrary.org/obo/GO_0030182	neuron differentiation
http://purl.obolibrary.org/obo/ZP_0000770	nodal signaling pathway premature, abnormal	http://purl.obolibrary.org/obo/GO_0038092	nodal signaling pathway
http://purl.obolibrary.org/obo/ZP_0006418	ossification premature, abnormal	http://purl.obolibrary.org/obo/GO_0001503	ossification
http://purl.obolibrary.org/obo/ZP_0009885	osteoclast differentiation premature, abnormal	http://purl.obolibrary.org/obo/GO_0030316	osteoclast differentiation
http://purl.obolibrary.org/obo/ZP_0004185	ovarian follicle development premature, abnormal	http://purl.obolibrary.org/obo/GO_0001541	ovarian follicle development
http://purl.obolibrary.org/obo/ZP_0021355	posterior lateral line neuromast deposition premature, abnormal	http://purl.obolibrary.org/obo/GO_0048922	posterior lateral line neuromast deposition
http://purl.obolibrary.org/obo/ZP_0140269	reproductive senescence premature, abnormal	http://purl.obolibrary.org/obo/GO_1990636	reproductive senescence
http://purl.obolibrary.org/obo/ZP_0021875	somite development premature, abnormal	http://purl.obolibrary.org/obo/GO_0061053	somite development
http://purl.obolibrary.org/obo/ZP_0006065	sprouting angiogenesis premature, abnormal	http://purl.obolibrary.org/obo/GO_0002040	sprouting angiogenesis
http://purl.obolibrary.org/obo/ZP_0146487	startle response premature, abnormal	http://purl.obolibrary.org/obo/GO_0001964	startle response
http://purl.obolibrary.org/obo/ZP_0000768	translational initiation premature, abnormal	http://purl.obolibrary.org/obo/GO_0006413	translational initiation
http://purl.obolibrary.org/obo/ZP_0102048	type B pancreatic cell differentiation premature, abnormal	http://purl.obolibrary.org/obo/GO_0003309	type B pancreatic cell differentiation
http://purl.obolibrary.org/obo/ZP_0016672	ventricular cardiac muscle tissue morphogenesis premature, abnormal	http://purl.obolibrary.org/obo/GO_0055010	ventricular cardiac muscle tissue morphogenesis
http://purl.obolibrary.org/obo/ZP_0012323	xanthophore differentiation premature, abnormal	http://purl.obolibrary.org/obo/GO_0050936	xanthophore differentiation
