defined_class	defined_class_label	anatomical_entity1	anatomical_entity1_label	anatomical_entity2	anatomical_entity2_label
http://purl.obolibrary.org/obo/ZP_0142263	Meckel's cartilage decreased distance ceratohyal bone, abnormal	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage	http://purl.obolibrary.org/obo/ZFA_0000578	ceratohyal bone
http://purl.obolibrary.org/obo/ZP_0005071	Meckel's cartilage decreased distance ceratohyal cartilage, abnormal	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage	http://purl.obolibrary.org/obo/ZFA_0001400	ceratohyal cartilage
http://purl.obolibrary.org/obo/ZP_0142021	Meckel's cartilage decreased distance palatoquadrate cartilage, abnormal	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage	http://purl.obolibrary.org/obo/ZFA_0001399	palatoquadrate cartilage
http://purl.obolibrary.org/obo/ZP_0131043	Meckel's cartilage decreased distance pharyngeal arch 2, abnormal	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage	http://purl.obolibrary.org/obo/ZFA_0001611	pharyngeal arch 2
http://purl.obolibrary.org/obo/ZP_0012422	anterior macula decreased distance posterior macula, abnormal	http://purl.obolibrary.org/obo/ZFA_0000168	anterior macula	http://purl.obolibrary.org/obo/ZFA_0000558	posterior macula
http://purl.obolibrary.org/obo/ZP_0143348	capillary decreased distance capillary, abnormal	http://purl.obolibrary.org/obo/ZFA_0005250	capillary	http://purl.obolibrary.org/obo/ZFA_0005250	capillary
http://purl.obolibrary.org/obo/ZP_0019733	caudal artery decreased distance caudal vein, abnormal	http://purl.obolibrary.org/obo/ZFA_0000011	caudal artery	http://purl.obolibrary.org/obo/ZFA_0000180	caudal vein
http://purl.obolibrary.org/obo/ZP_0007596	ceratobranchial cartilage decreased distance ceratobranchial cartilage, abnormal	http://purl.obolibrary.org/obo/ZFA_0001516	ceratobranchial cartilage	http://purl.obolibrary.org/obo/ZFA_0001516	ceratobranchial cartilage
http://purl.obolibrary.org/obo/ZP_0104216	ceratohyal cartilage decreased distance Meckel's cartilage, abnormal	http://purl.obolibrary.org/obo/ZFA_0001400	ceratohyal cartilage	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage
http://purl.obolibrary.org/obo/ZP_0147143	ceratohyal cartilage decreased distance ceratohyal cartilage, abnormal	http://purl.obolibrary.org/obo/ZFA_0001400	ceratohyal cartilage	http://purl.obolibrary.org/obo/ZFA_0001400	ceratohyal cartilage
