defined_class	defined_class_label	color	color_label	entity	entity_label
http://purl.obolibrary.org/obo/ZP_0014865	blood desaturated red, abnormal	http://purl.obolibrary.org/obo/PATO_0001284	desaturated red	http://purl.obolibrary.org/obo/ZFA_0000007	blood
http://purl.obolibrary.org/obo/ZP_0015762	caudal fin black, abnormal	http://purl.obolibrary.org/obo/PATO_0000317	black	http://purl.obolibrary.org/obo/ZFA_0001058	caudal fin
http://purl.obolibrary.org/obo/ZP_0007492	chondrocyte color, abnormal	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/ZFA_0009084	chondrocyte
http://purl.obolibrary.org/obo/ZP_0002292	eye color, abnormal	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/ZFA_0000107	eye
http://purl.obolibrary.org/obo/ZP_0012578	eye red, abnormal	http://purl.obolibrary.org/obo/PATO_0000322	red	http://purl.obolibrary.org/obo/ZFA_0000107	eye
http://purl.obolibrary.org/obo/ZP_0100898	gill white, abnormal	http://purl.obolibrary.org/obo/PATO_0000323	white	http://purl.obolibrary.org/obo/ZFA_0000354	gill
http://purl.obolibrary.org/obo/ZP_0102221	gut color, abnormal	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/ZFA_0000112	gut
http://purl.obolibrary.org/obo/ZP_0005279	head color, abnormal	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/ZFA_0001114	head
http://purl.obolibrary.org/obo/ZP_0009110	integument colored, abnormal	http://purl.obolibrary.org/obo/PATO_0000336	colored	http://purl.obolibrary.org/obo/ZFA_0000368	integument
http://purl.obolibrary.org/obo/ZP_0015009	iridophore color, abnormal	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/ZFA_0009199	iridophore
http://purl.obolibrary.org/obo/ZP_0016260	iridophore white, abnormal	http://purl.obolibrary.org/obo/PATO_0000323	white	http://purl.obolibrary.org/obo/ZFA_0009199	iridophore
http://purl.obolibrary.org/obo/ZP_0016186	lens color, abnormal	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/ZFA_0000035	lens
http://purl.obolibrary.org/obo/ZP_0016220	liver brown, abnormal	http://purl.obolibrary.org/obo/PATO_0000952	brown	http://purl.obolibrary.org/obo/ZFA_0000123	liver
http://purl.obolibrary.org/obo/ZP_0003842	liver color, abnormal	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/ZFA_0000123	liver
http://purl.obolibrary.org/obo/ZP_0001079	liver green, abnormal	http://purl.obolibrary.org/obo/PATO_0000320	green	http://purl.obolibrary.org/obo/ZFA_0000123	liver
http://purl.obolibrary.org/obo/ZP_0016219	liver grey, abnormal	http://purl.obolibrary.org/obo/PATO_0000950	grey	http://purl.obolibrary.org/obo/ZFA_0000123	liver
http://purl.obolibrary.org/obo/ZP_0016226	liver red brown, abnormal	http://purl.obolibrary.org/obo/PATO_0001287	red brown	http://purl.obolibrary.org/obo/ZFA_0000123	liver
http://purl.obolibrary.org/obo/ZP_0148334	liver white, abnormal	http://purl.obolibrary.org/obo/PATO_0000323	white	http://purl.obolibrary.org/obo/ZFA_0000123	liver
http://purl.obolibrary.org/obo/ZP_0015918	liver yellow orange, abnormal	http://purl.obolibrary.org/obo/PATO_0001944	yellow orange	http://purl.obolibrary.org/obo/ZFA_0000123	liver
http://purl.obolibrary.org/obo/ZP_0016606	liver yellow, abnormal	http://purl.obolibrary.org/obo/PATO_0000324	yellow	http://purl.obolibrary.org/obo/ZFA_0000123	liver
http://purl.obolibrary.org/obo/ZP_0014257	melanocyte black, abnormal	http://purl.obolibrary.org/obo/PATO_0000317	black	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte
http://purl.obolibrary.org/obo/ZP_0006710	melanocyte brown, abnormal	http://purl.obolibrary.org/obo/PATO_0000952	brown	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte
http://purl.obolibrary.org/obo/ZP_0015123	melanocyte color, abnormal	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte
http://purl.obolibrary.org/obo/ZP_0001312	nucleate erythrocyte desaturated blue, abnormal	http://purl.obolibrary.org/obo/PATO_0001266	desaturated blue	http://purl.obolibrary.org/obo/ZFA_0009256	nucleate erythrocyte
http://purl.obolibrary.org/obo/ZP_0106834	opercular flap red, abnormal	http://purl.obolibrary.org/obo/PATO_0000322	red	http://purl.obolibrary.org/obo/ZFA_0000555	opercular flap
http://purl.obolibrary.org/obo/ZP_0001080	pancreas green, abnormal	http://purl.obolibrary.org/obo/PATO_0000320	green	http://purl.obolibrary.org/obo/ZFA_0000140	pancreas
http://purl.obolibrary.org/obo/ZP_0022253	post-vent region colored, abnormal	http://purl.obolibrary.org/obo/PATO_0000336	colored	http://purl.obolibrary.org/obo/ZFA_0001117	post-vent region
http://purl.obolibrary.org/obo/ZP_0020084	post-vent region white, abnormal	http://purl.obolibrary.org/obo/PATO_0000323	white	http://purl.obolibrary.org/obo/ZFA_0001117	post-vent region
http://purl.obolibrary.org/obo/ZP_0006705	retinal pigmented epithelium brown, abnormal	http://purl.obolibrary.org/obo/PATO_0000952	brown	http://purl.obolibrary.org/obo/ZFA_0000144	retinal pigmented epithelium
http://purl.obolibrary.org/obo/ZP_0005649	retinal pigmented epithelium color, abnormal	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/ZFA_0000144	retinal pigmented epithelium
http://purl.obolibrary.org/obo/ZP_0003065	somite grey, abnormal	http://purl.obolibrary.org/obo/PATO_0000950	grey	http://purl.obolibrary.org/obo/ZFA_0000155	somite
http://purl.obolibrary.org/obo/ZP_0140741	thyroid follicle red, abnormal	http://purl.obolibrary.org/obo/PATO_0000322	red	http://purl.obolibrary.org/obo/ZFA_0001072	thyroid follicle
http://purl.obolibrary.org/obo/ZP_0022096	trunk red, abnormal	http://purl.obolibrary.org/obo/PATO_0000322	red	http://purl.obolibrary.org/obo/ZFA_0001115	trunk
http://purl.obolibrary.org/obo/ZP_0006881	whole organism color, abnormal	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0011367	whole organism desaturated yellow, abnormal	http://purl.obolibrary.org/obo/PATO_0001286	desaturated yellow	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0100899	whole organism white, abnormal	http://purl.obolibrary.org/obo/PATO_0000323	white	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
http://purl.obolibrary.org/obo/ZP_0016256	xanthophore brown, abnormal	http://purl.obolibrary.org/obo/PATO_0000952	brown	http://purl.obolibrary.org/obo/ZFA_0009198	xanthophore
http://purl.obolibrary.org/obo/ZP_0003316	xanthophore desaturated yellow, abnormal	http://purl.obolibrary.org/obo/PATO_0001286	desaturated yellow	http://purl.obolibrary.org/obo/ZFA_0009198	xanthophore
http://purl.obolibrary.org/obo/ZP_0016248	xanthophore green, abnormal	http://purl.obolibrary.org/obo/PATO_0000320	green	http://purl.obolibrary.org/obo/ZFA_0009198	xanthophore
http://purl.obolibrary.org/obo/ZP_0016246	xanthophore white, abnormal	http://purl.obolibrary.org/obo/PATO_0000323	white	http://purl.obolibrary.org/obo/ZFA_0009198	xanthophore
http://purl.obolibrary.org/obo/ZP_0103156	yolk color, abnormal	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/ZFA_0000084	yolk
http://purl.obolibrary.org/obo/ZP_0002199	yolk dark grey, abnormal	http://purl.obolibrary.org/obo/PATO_0001251	dark grey	http://purl.obolibrary.org/obo/ZFA_0000084	yolk
http://purl.obolibrary.org/obo/ZP_0001546	yolk grey, abnormal	http://purl.obolibrary.org/obo/PATO_0000950	grey	http://purl.obolibrary.org/obo/ZFA_0000084	yolk
