defined_class	defined_class_label	location	location_label	role	role_label
http://purl.obolibrary.org/obo/ZP_0142015	food intestine lumen increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0005807	intestine lumen	http://purl.obolibrary.org/obo/CHEBI_33290	food
http://purl.obolibrary.org/obo/ZP_0141980	thyroid hormone whole organism increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/CHEBI_60311	thyroid hormone
