defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/MP_0020570	decreased premotor cortex size	http://purl.obolibrary.org/obo/UBERON_0016634	premotor cortex
http://purl.obolibrary.org/obo/MP_0012450	decreased primary motor cortex size	http://purl.obolibrary.org/obo/UBERON_0001384	primary motor cortex
http://purl.obolibrary.org/obo/MP_0030886	decreased radius size	http://purl.obolibrary.org/obo/UBERON_0001423	radius bone
http://purl.obolibrary.org/obo/MP_0012453	decreased retrosplenial granular cortex size	http://purl.obolibrary.org/obo/UBERON_0014918	retrosplenial granular cortex
http://purl.obolibrary.org/obo/MP_0012785	decreased rhombomere 1 size	http://purl.obolibrary.org/obo/UBERON_0005499	rhombomere 1
http://purl.obolibrary.org/obo/MP_0012789	decreased rhombomere 2 size	http://purl.obolibrary.org/obo/UBERON_0005569	rhombomere 2
http://purl.obolibrary.org/obo/MP_0012793	decreased rhombomere 3 size	http://purl.obolibrary.org/obo/UBERON_0005507	rhombomere 3
http://purl.obolibrary.org/obo/MP_0012797	decreased rhombomere 4 size	http://purl.obolibrary.org/obo/UBERON_0005511	rhombomere 4
http://purl.obolibrary.org/obo/MP_0012801	decreased rhombomere 5 size	http://purl.obolibrary.org/obo/UBERON_0005515	rhombomere 5
http://purl.obolibrary.org/obo/MP_0012805	decreased rhombomere 6 size	http://purl.obolibrary.org/obo/UBERON_0005519	rhombomere 6
http://purl.obolibrary.org/obo/MP_0012809	decreased rhombomere 7 size	http://purl.obolibrary.org/obo/UBERON_0005523	rhombomere 7
http://purl.obolibrary.org/obo/MP_0012813	decreased rhombomere 8 size	http://purl.obolibrary.org/obo/UBERON_0005527	rhombomere 8
http://purl.obolibrary.org/obo/MP_0012478	decreased secondary somatosensory cortex size	http://purl.obolibrary.org/obo/UBERON_0008934	secondary somatosensory cortex
http://purl.obolibrary.org/obo/MP_0010240	decreased skeletal muscle size	http://purl.obolibrary.org/obo/UBERON_0001134	skeletal muscle tissue
http://purl.obolibrary.org/obo/MP_0008142	decreased small intestinal villus size	http://purl.obolibrary.org/obo/UBERON_0001213	intestinal villus
http://purl.obolibrary.org/obo/MP_0011732	decreased somite size	http://purl.obolibrary.org/obo/UBERON_0002329	somite
http://purl.obolibrary.org/obo/MP_0000956	decreased spinal cord size	http://purl.obolibrary.org/obo/UBERON_0002240	spinal cord
http://purl.obolibrary.org/obo/MP_0008484	decreased spleen germinal center size	http://purl.obolibrary.org/obo/UBERON_0005196	spleen germinal center
http://purl.obolibrary.org/obo/MP_0012099	decreased spongiotrophoblast size	http://purl.obolibrary.org/obo/UBERON_0004021	spongiotrophoblast layer
http://purl.obolibrary.org/obo/MP_0012281	decreased sternebra size	http://purl.obolibrary.org/obo/UBERON_0002208	sternebra
http://purl.obolibrary.org/obo/MP_0020554	decreased stria medullaris size	http://purl.obolibrary.org/obo/UBERON_0006086	stria medullaris
http://purl.obolibrary.org/obo/MP_0012468	decreased striatum size	http://purl.obolibrary.org/obo/UBERON_0002435	striatum
http://purl.obolibrary.org/obo/MP_0020537	decreased subiculum size	http://purl.obolibrary.org/obo/UBERON_0002191	subiculum
http://purl.obolibrary.org/obo/MP_0009520	decreased submandibular gland size	http://purl.obolibrary.org/obo/UBERON_0001736	submandibular gland
http://purl.obolibrary.org/obo/MP_0020543	decreased substantia nigra size	http://purl.obolibrary.org/obo/UBERON_0002038	substantia nigra
http://purl.obolibrary.org/obo/MP_0002892	decreased superior colliculus size	http://purl.obolibrary.org/obo/UBERON_0001945	superior colliculus
http://purl.obolibrary.org/obo/MP_0003166	decreased superior semicircular canal size	http://purl.obolibrary.org/obo/UBERON_0001841	anterior semicircular canal
http://purl.obolibrary.org/obo/MP_0006102	decreased tegmentum size	http://purl.obolibrary.org/obo/UBERON_0001943	midbrain tegmentum
http://purl.obolibrary.org/obo/MP_0009907	decreased tongue size	http://purl.obolibrary.org/obo/UBERON_0001723	tongue
http://purl.obolibrary.org/obo/MP_0006020	decreased tympanic ring size	http://purl.obolibrary.org/obo/UBERON_0002218	tympanic ring
http://purl.obolibrary.org/obo/MP_0030900	decreased ulna size	http://purl.obolibrary.org/obo/UBERON_0001424	ulna
http://purl.obolibrary.org/obo/MP_0012714	decreased ventral ectodermal ridge size	http://purl.obolibrary.org/obo/UBERON_0015855	ventral ectodermal ridge
http://purl.obolibrary.org/obo/MP_0020558	decreased ventromedial hypothalamic nucleus size	http://purl.obolibrary.org/obo/UBERON_0001935	ventromedial nucleus of hypothalamus
