defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	anatomical_entity_fused_with	anatomical_entity_fused_with_label
http://purl.obolibrary.org/obo/MP_0009437	arytenoid and cricoid cartilage fusion	http://purl.obolibrary.org/obo/UBERON_0001740	arytenoid cartilage	http://purl.obolibrary.org/obo/UBERON_0002375	cricoid cartilage
http://purl.obolibrary.org/obo/MP_0030086	bony syngnathia	http://purl.obolibrary.org/obo/UBERON_0011597	bone of upper jaw	http://purl.obolibrary.org/obo/UBERON_0004768	bone of lower jaw
http://purl.obolibrary.org/obo/MP_0004619	caudal vertebral fusion	http://purl.obolibrary.org/obo/UBERON_0001095	caudal vertebra	http://purl.obolibrary.org/obo/UBERON_0001095	caudal vertebra
http://purl.obolibrary.org/obo/MP_0004620	cervical vertebral fusion	http://purl.obolibrary.org/obo/UBERON_0002413	cervical vertebra	http://purl.obolibrary.org/obo/UBERON_0002413	cervical vertebra
http://purl.obolibrary.org/obo/MP_0009438	cricoid and tracheal cartilage fusion	http://purl.obolibrary.org/obo/UBERON_0002375	cricoid cartilage	http://purl.obolibrary.org/obo/UBERON_0003604	trachea cartilage
http://purl.obolibrary.org/obo/MP_0030087	fibrous syngnathia	http://purl.obolibrary.org/obo/UBERON_0004103	alveolar ridge	http://purl.obolibrary.org/obo/UBERON_0004103	alveolar ridge
http://purl.obolibrary.org/obo/MP_0010989	fused bronchial cartilage rings	http://purl.obolibrary.org/obo/UBERON_0001956	cartilage of bronchus	http://purl.obolibrary.org/obo/UBERON_0001956	cartilage of bronchus
http://purl.obolibrary.org/obo/MP_0001307	fused cornea and lens	http://purl.obolibrary.org/obo/UBERON_0000964	cornea	http://purl.obolibrary.org/obo/UBERON_0000965	lens of camera-type eye
http://purl.obolibrary.org/obo/MP_0000963	fused dorsal root ganglion	http://purl.obolibrary.org/obo/UBERON_0000044	dorsal root ganglion	http://purl.obolibrary.org/obo/UBERON_0000044	dorsal root ganglion
http://purl.obolibrary.org/obo/MP_0030474	fused incisors	http://purl.obolibrary.org/obo/UBERON_0001098	incisor tooth	http://purl.obolibrary.org/obo/UBERON_0001098	incisor tooth
http://purl.obolibrary.org/obo/MP_0003189	fused joints	http://purl.obolibrary.org/obo/UBERON_0000982	skeletal joint	http://purl.obolibrary.org/obo/UBERON_0000982	skeletal joint
